context,platform,algorithm,mode,key_size_bits,message_size_bytes,throughput_enc_mbps,throughput_dec_mbps,avalanche_score,key_avalanche_score,ci95_enc_mbps,source_csvs
performance,x86,3DES,ECB,192,16384,12.72506895400114,13.85858483295489,0.5002343749999999,0.4360546875,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,CBC,128,64,0.5085753598579963,1.8420849705294504,0.5002734375,0.50048828125,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,CBC,128,256,0.6348020162754578,4.5588285002147195,0.4998697916666666,0.5011328125,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,CBC,128,1024,0.6645496082266557,6.556165063441146,0.49613281249999996,0.49947265625000004,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,CBC,128,4096,0.6848581683416758,6.843434796168514,0.5000520833333333,0.50115234375,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,CBC,128,16384,0.7130124204322396,7.87695492222419,0.5008072916666667,0.4990234375,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,CBC,192,64,0.5508164534767035,1.9571817646289125,0.5011979166666667,0.5012109375,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,CBC,192,256,0.5537787477592485,3.122539236847905,0.4989973958333333,0.50072265625,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,CBC,192,1024,0.7115011148154599,6.726187620337659,0.5009635416666667,0.50119140625,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,CBC,192,4096,0.7522006949370829,8.232358314998889,0.49802083333333336,0.49972656249999997,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,CBC,192,16384,0.7405027989140985,8.68491024432859,0.5026171875,0.5005468750000001,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,CBC,256,64,0.5458492329611716,1.9942601992561684,0.4971223958333333,0.5021875,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,CBC,256,256,0.6735367361780695,4.431173282935998,0.500390625,0.49417968749999996,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,CBC,256,1024,0.7254203299523568,7.165896510071821,0.5008463541666667,0.500390625,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,CBC,256,4096,0.7463476239136181,8.172974114556487,0.5003385416666667,0.49921875000000004,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,CBC,256,16384,0.7346370856481274,7.274723157388716,0.5005729166666667,0.500625,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,CTR,128,64,1.8113060033640693,1.9380803110193472,0.5003385416666667,0.5005078125,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,CTR,128,256,3.514836505032329,4.176867232983828,0.49709635416666664,0.50119140625,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,CTR,128,1024,5.585468810327967,5.751597027129681,0.5004817708333333,0.5009375,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,CTR,128,4096,6.539906493839664,6.709444687136013,0.5000390625,0.4975390625,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,CTR,128,16384,6.609820950599693,6.851844147364859,0.5009244791666667,0.4970703125,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,CTR,192,64,1.8299091953866025,1.926308137089389,0.4938151041666667,0.501796875,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,CTR,192,256,3.7918275873324414,4.177932858986467,0.5024348958333333,0.502890625,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,CTR,192,1024,5.605701687688434,5.7621639980765,0.49798177083333334,0.50337890625,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,CTR,192,4096,6.252314266396266,6.102691750731961,0.4979036458333333,0.49865234375,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,CTR,192,16384,6.537972770791838,6.191715540662282,0.5021223958333333,0.500078125,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,CTR,256,64,1.8059640023832062,1.6980540026473505,0.4996744791666667,0.4987890625,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,CTR,256,256,3.7453488335094463,3.7538623330841894,0.5026171875,0.50189453125,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,CTR,256,1024,4.937101839641391,5.620231657934261,0.49953125,0.50220703125,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,CTR,256,4096,5.4146175669660375,5.5259040979839185,0.49936197916666664,0.50142578125,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,CTR,256,16384,6.380408018946137,6.524288834990622,0.49799479166666666,0.50033203125,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,ECB,128,64,1.320904090012526,3.365788340917611,0.5006380208333333,0.5001822916666666,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,ECB,128,256,12.429915603978921,14.184133549915563,0.49838541666666664,0.49863281249999997,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,ECB,128,1024,41.97817894547921,49.04714416261576,0.5001302083333333,0.49816406249999995,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,ECB,128,4096,147.60948590363137,168.9675378891426,0.49630208333333337,0.49640625,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,ECB,128,16384,341.1073792938321,538.9698282980561,0.5043619791666667,0.49626953125,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,ECB,192,64,3.328117002300157,3.406349734780356,0.4971744791666666,0.5008984375000001,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,ECB,192,256,11.172441550995243,12.665823593789908,0.5010546875,0.497265625,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,ECB,192,1024,40.551153685029924,50.72460695869148,0.49981770833333333,0.4988671875,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,ECB,192,4096,128.28626856602946,142.61331811777552,0.501640625,0.49771484374999997,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,ECB,192,16384,364.4217335001443,434.0626488136652,0.5005078125,0.5000390625,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,ECB,256,64,3.210146139356425,3.059317476112035,0.5025260416666667,0.49921875000000004,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,ECB,256,256,11.098708096042808,12.34133691354876,0.5025130208333334,0.50171875,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,ECB,256,1024,34.85960827209748,41.50178815486254,0.49920572916666667,0.5017578125,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,ECB,256,4096,138.2263223365447,149.7723002517141,0.49936197916666664,0.50283203125,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,AES,ECB,256,16384,368.3148054676824,502.96194061949524,0.5039843749999999,0.50158203125,,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
