context,platform,algorithm,mode,key_size_bits,message_size_bytes,metric,raw_count,raw_mean,aggregated_value,abs_diff,rel_diff_pct,source_csvs
performance,x86,3DES,CBC,128,16384,throughput_dec_mbps,3,5.20887016937063,5.20887016937063,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,128,16384,throughput_enc_mbps,3,0.7118593860326076,0.7118593860326076,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,192,64,avalanche_score,3,0.5053385416666667,0.5053385416666667,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,192,64,avg_decrypt_time_s,3,9.385999913016955e-05,9.385999913016955e-05,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,192,64,avg_encrypt_time_s,3,0.00025399832908685007,0.00025399832908685007,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,192,64,key_avalanche_score,2,0.42093749999999996,0.42093749999999996,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,192,64,throughput_dec_mbps,3,0.6628627132335008,0.6628627132335008,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,192,64,throughput_enc_mbps,3,0.5882190860025385,0.5882190860025385,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,192,256,avalanche_score,3,0.49807291666666664,0.49807291666666664,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,192,256,avg_decrypt_time_s,3,0.00012761700587968032,0.00012761700587968032,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,192,256,avg_encrypt_time_s,3,0.0008997349968800942,0.0008997349968800942,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,192,256,key_avalanche_score,2,0.44796875,0.44796875,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,192,256,throughput_dec_mbps,3,1.9291553383721647,1.9291553383721647,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,192,256,throughput_enc_mbps,3,0.6689904512977373,0.6689904512977373,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,192,1024,avalanche_score,3,0.5046354166666667,0.5046354166666667,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,192,1024,avg_decrypt_time_s,3,0.00027314866815383236,0.00027314866815383236,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,192,1024,avg_encrypt_time_s,3,0.0034613236652997633,0.0034613236652997633,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,192,1024,key_avalanche_score,2,0.43843750000000004,0.43843750000000004,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,192,1024,throughput_dec_mbps,3,3.6138474478389746,3.6138474478389746,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,192,1024,throughput_enc_mbps,3,0.6747036131675263,0.6747036131675263,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,192,4096,avalanche_score,3,0.5027343750000001,0.5027343750000001,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
