algorithm,mode,key_size_bytes,message_size_bytes,repetitions,avg_encrypt_time_s,avg_decrypt_time_s,throughput_encrypt_mbps,throughput_decrypt_mbps,avalanche_score,extra
DES,CBC,8,16384,100,0.04549053098307922,0.002310543991625309,0.34347807471871267,6.762476739951134,0.50328125,{}
DES,CTR,8,64,100,4.14479966275394e-05,3.7130003329366444e-05,1.4725719266596895,1.643823075063577,0.502421875,{}
DES,CTR,8,256,100,0.00010227499762549997,0.00010249398881569505,2.387099786537947,2.38199945012399,0.493515625,{}
DES,CTR,8,1024,100,0.00023341199848800898,0.0002451869915239513,4.183857326641109,3.9829294936497623,0.4990625,{}
DES,CTR,8,4096,100,0.0008489520079456269,0.0007903680112212896,4.601261276774299,4.942317938657459,0.512109375,{}
DES,CTR,8,16384,100,0.00337604699190706,0.00305886099813506,4.628193872139723,5.108110505683756,0.5003125,{}
3DES,ECB,16,64,100,5.898699630051851e-05,5.585399689152837e-05,1.0347222282525934,1.0927625532069574,0.508828125,{}
3DES,ECB,16,256,100,8.02850117906928e-05,7.447200361639261e-05,3.0409240723098763,3.2782873179775747,0.5046875,{}
3DES,ECB,16,1024,100,0.00012205298757180572,0.00012906300835311413,8.001135567660501,7.566556153163129,0.495625,{}
3DES,ECB,16,4096,100,0.0003318900056183338,0.00034809800563380123,11.76971265742814,11.221696007386411,0.502421875,{}
3DES,ECB,16,16384,100,0.0011598829948343337,0.001046720021404326,13.47118637792575,14.927583002603512,0.500703125,{}
3DES,ECB,24,64,100,7.019900251179933e-05,8.173000533133745e-05,0.8694590245743301,0.7467900681342241,0.48953125,{}
3DES,ECB,24,256,100,8.273499784991145e-05,0.00011008098255842923,2.950874857613371,2.217827451443886,0.501875,{}
3DES,ECB,24,1024,100,0.0001323539949953556,0.00018640000373125077,7.378413473913412,5.239069101135834,0.496796875,{}
3DES,ECB,24,4096,100,0.00035967100178822874,0.00031611498445272446,10.86061979024922,12.357054211658816,0.4934375,{}
3DES,ECB,24,16384,100,0.0010977069893851877,0.0010794160049408675,14.23421746521936,14.47541997568951,0.498671875,{}
3DES,CBC,16,64,100,0.0005670370045118034,6.752000423148275e-05,0.10763875331654743,0.9039566413643819,0.501015625,{}
3DES,CBC,16,256,100,0.0018547040061093866,0.00010121500585228205,0.13163320087507327,2.4120991047148714,0.50109375,{}
3DES,CBC,16,1024,100,0.008508977005258203,0.0002784110070206225,0.1147684967765836,3.5076289204602604,0.50328125,{}
3DES,CBC,16,4096,100,0.030379409005399795,0.0007485549873672426,0.12858215903099637,5.218387514508117,0.500703125,{}
3DES,CBC,16,16384,100,0.1361445819819346,0.004043960000853985,0.11476769602240451,3.863786980262016,0.503984375,{}
3DES,CBC,24,64,100,0.0010955829871818422,0.0001414749980904162,0.055710208139504024,0.4314200888767119,0.50484375,{}
3DES,CBC,24,256,100,0.0026830109907314183,0.000129846993368119,0.09099501487075332,1.880217775300011,0.496484375,{}
3DES,CBC,24,1024,100,0.00988392299041152,0.0002611440047621727,0.09880312715380035,3.739555502678947,0.49484375,{}
3DES,CBC,24,4096,100,0.036389401990454644,0.000819860000628978,0.1073458146145038,4.764532965388254,0.489765625,{}
3DES,CBC,24,16384,100,0.14974348100833595,0.0032864489988423885,0.10434511001604259,4.754371665436985,0.496015625,{}
3DES,CTR,16,64,100,9.264200692996383e-05,8.648799499496817e-05,0.6588280875234255,0.7057066851133617,0.493203125,{}
3DES,CTR,16,256,100,0.00014565399615094066,0.0001522790011949837,1.6761683953181623,1.6032455104390475,0.499921875,{}
3DES,CTR,16,1024,100,0.00032308100257068874,0.00039519700221717357,3.0226552852990243,2.4710777018074324,0.4928125,{}
3DES,CTR,16,4096,100,0.001267129995394498,0.0011081160185858606,3.082753951210712,3.5251272741143307,0.50125,{}
3DES,CTR,16,16384,100,0.004321007016114891,0.004919104990549385,3.616055225489722,3.1763908332956596,0.507578125,{}
3DES,CTR,24,64,100,0.00010155999101698399,0.00012715799966827034,0.6009763848816511,0.4799946240836475,0.50703125,{}
3DES,CTR,24,256,100,0.0001684509962797165,0.00016057998407632113,1.449327284444191,1.5203677245600162,0.498125,{}
3DES,CTR,24,1024,100,0.00039520599646493794,0.0003843119833618402,2.4710214640850956,2.5410670035769862,0.503671875,{}
3DES,CTR,24,4096,100,0.0013807490025646984,0.0012645219988189637,2.829080443110415,3.0891119360899637,0.4984375,{}
3DES,CTR,24,16384,100,0.004444387999828905,0.004619331003632396,3.515669649139885,3.3825244364851383,0.5059375,{}
