algorithm,mode,key_size_bytes,message_size_bytes,repetitions,avg_encrypt_time_s,avg_decrypt_time_s,throughput_encrypt_mbps,throughput_decrypt_mbps,avalanche_score,extra
AES,ECB,16,64,100,4.957101074978709e-05,1.74849946051836e-05,1.2312671322777526,3.4907163329581765,0.50578125,{}
AES,ECB,16,256,100,1.9672007765620948e-05,1.698399893939495e-05,12.410559608799224,14.374743302280105,0.499140625,{}
AES,ECB,16,1024,100,2.216101158410311e-05,2.122600330039859e-05,44.06669326866484,46.00783699970789,0.497890625,{}
AES,ECB,16,4096,100,3.410301171243191e-05,2.217200119048357e-05,114.54266951373143,176.17940601936277,0.4989453125,{}
AES,ECB,16,16384,100,6.31040008738637e-05,3.246599575504661e-05,247.60712131758882,481.2727789989686,0.5038671875,{}
AES,ECB,24,64,100,1.8986009526997803e-05,1.706499373540282e-05,3.21474379138012,3.576629279586387,0.49140625,{}
AES,ECB,24,256,100,3.253998700529337e-05,2.0199010614305734e-05,7.502788030010122,12.086761557870068,0.5007421875,{}
AES,ECB,24,1024,100,3.220601240172982e-05,1.9060990307480097e-05,30.32236614140867,51.23356574064087,0.5065234375,{}
AES,ECB,24,4096,100,4.771000472828746e-05,3.7411986850202086e-05,81.87486088602226,104.41172278929366,0.5028515625,{}
AES,ECB,24,16384,100,5.847699707373977e-05,4.608600866049528e-05,267.1990830906861,339.0399918358233,0.4996875,{}
AES,ECB,32,64,100,1.975401071831584e-05,3.0589010566473004e-05,3.0897602071972377,1.9953295356632883,0.50296875,{}
AES,ECB,32,256,100,2.0280999597162007e-05,2.4972986429929734e-05,12.037899011356593,9.776188590220082,0.5040625,{}
AES,ECB,32,1024,100,4.244699375703931e-05,3.716800594702363e-05,23.006635183393858,26.27427743613461,0.497421875,{}
AES,ECB,32,4096,100,4.1971008758991953e-05,4.0176000911742446e-05,93.07019572559398,97.22844263621819,0.5023828125,{}
AES,ECB,32,16384,100,5.049001425504684e-05,3.0547992791980506e-05,309.46713385881384,511.49023460886417,0.5037890625,{}
