algorithm,mode,key_size_bytes,message_size_bytes,repetitions,avg_encrypt_time_s,avg_decrypt_time_s,throughput_encrypt_mbps,throughput_decrypt_mbps,avalanche_score,key_avalanche_score,extra
AES,ECB,16,64,100,4.487498663365841e-05,1.7286003567278387e-05,1.360115307627093,3.530900361812765,0.4951171875,0.496640625,{}
AES,ECB,16,256,100,1.9493992440402507e-05,1.7622993327677248e-05,12.523890411181418,13.853527630664903,0.49859375,0.4996875,{}
AES,ECB,16,1024,100,2.7128015644848347e-05,1.9255990628153087e-05,35.99830200575141,50.71473698020104,0.500078125,0.50359375,{}
AES,ECB,16,4096,100,2.360199810937047e-05,2.6639997959136962e-05,165.50505520331942,146.63101723925763,0.49328125,0.4923046875,{}
AES,ECB,16,16384,100,3.9776989724487065e-05,2.7803005650639534e-05,392.81504478407305,561.9895991223736,0.5062890625,0.4945703125,{}
AES,ECB,24,64,100,1.815898111090064e-05,1.706900307908654e-05,3.361155335602021,3.5757891639718618,0.4990234375,0.4996484375,{}
AES,ECB,24,256,100,1.9008014351129533e-05,2.0982993301004172e-05,12.84408884011034,11.635166703709345,0.4989453125,0.4951953125,{}
AES,ECB,24,1024,100,2.203098963946104e-05,1.9532006699591875e-05,44.32676497885595,49.99806292409297,0.4978515625,0.4970703125,{}
AES,ECB,24,4096,100,2.3840004578232764e-05,2.80890055000782e-05,163.852736990102,139.0668672833264,0.502734375,0.4962109375,{}
AES,ECB,24,16384,100,3.820301266387105e-05,2.9157998505979775e-05,408.9991576705339,535.8735441596101,0.499375,0.49703125,{}
AES,ECB,32,64,100,1.9410999957472086e-05,1.7300008330494166e-05,3.1443591975541207,3.5280420150096288,0.4994921875,0.497734375,{}
AES,ECB,32,256,100,2.63000070117414e-05,1.8784001003950834e-05,9.282911023217812,12.9972642648736,0.4950390625,0.4998046875,{}
AES,ECB,32,1024,100,2.056000754237175e-05,1.9325993489474057e-05,47.49815864548785,50.53103740989496,0.5047265625,0.506328125,{}
AES,ECB,32,4096,100,2.456800080835819e-05,2.2086009848862887e-05,158.99747116057847,176.86535624727688,0.4989453125,0.502734375,{}
AES,ECB,32,16384,100,3.873499110341072e-05,3.3374992199242115e-05,403.38204695299845,468.1649034319419,0.50078125,0.50046875,{}
AES,CBC,16,64,100,0.00010680000996217131,3.183499677106738e-05,0.5714901737520317,1.917234567005536,0.4991015625,0.4993359375,{}
AES,CBC,16,256,100,0.00035221299389377237,5.002799443900585e-05,0.6931618913345171,4.880080197851152,0.5026953125,0.4991796875,{}
AES,CBC,16,1024,100,0.001326675007585436,0.0001345270057208836,0.7360977589962708,7.259230180341412,0.4953515625,0.4986328125,{}
AES,CBC,16,4096,100,0.005432396999094635,0.0005647970084100962,0.7190656354185854,6.91620164737787,0.500859375,0.508203125,{}
AES,CBC,16,16384,100,0.02290462300181389,0.002369364013429731,0.6821766941443484,6.594596656080004,0.4986328125,0.4983984375,{}
AES,CBC,24,64,100,0.0001094640139490366,2.9664007015526295e-05,0.5575819307924911,2.057549279099546,0.503203125,0.501953125,{}
AES,CBC,24,256,100,0.0007476730202324688,0.0003678009891882539,0.3265339505283888,0.663784579641356,0.501015625,0.5014453125,{}
AES,CBC,24,1024,100,0.0014256509998813271,0.00014381899265572429,0.684994083461724,6.790219302520827,0.50359375,0.5015234375,{}
AES,CBC,24,4096,100,0.005229650996625423,0.0004708759975619614,0.7469427697031056,8.295708467250948,0.49484375,0.5011328125,{}
AES,CBC,24,16384,100,0.020821967001538724,0.0018325620191171766,0.7504094113128373,8.52631443683812,0.503359375,0.502890625,{}
AES,CBC,32,64,100,0.00011363599449396134,3.412599442526698e-05,0.5371111197803037,1.788523888546656,0.493515625,0.5023046875,{}
AES,CBC,32,256,100,0.00036438899580389263,4.9452995881438255e-05,0.6699999939937592,4.936821736448853,0.4995703125,0.494375,{}
AES,CBC,32,1024,100,0.0013183059846051037,0.00013396300142630934,0.7407707401802682,7.28979262634086,0.4987890625,0.49890625,{}
AES,CBC,32,4096,100,0.005405656988732517,0.0004883789969608187,0.7226226170365856,7.998398834324539,0.500625,0.4960546875,{}
AES,CBC,32,16384,100,0.021746302002575248,0.0018539769970811904,0.7185129682347671,8.427828405961469,0.4928515625,0.499140625,{}
AES,CTR,16,64,100,3.3613000996410845e-05,3.2814994920045134e-05,1.8158199042244774,1.8599776229956537,0.5060546875,0.4972265625,{}
AES,CTR,16,256,100,8.538900176063179e-05,5.763199646025896e-05,2.859157736547752,4.236199333617584,0.4982421875,0.5041796875,{}
AES,CTR,16,1024,100,0.00016951701138168574,0.0001769980019889772,5.7608525070157395,5.51736454098966,0.5006640625,0.499296875,{}
AES,CTR,16,4096,100,0.000621628009248525,0.0005871699936687946,6.283902819504862,6.65267306251927,0.4973828125,0.4976171875,{}
AES,CTR,16,16384,100,0.0023321540071628987,0.0023299180017784236,6.699814828699093,6.706244592330484,0.50390625,0.4978515625,{}
AES,CTR,24,64,100,3.318598959594965e-05,3.181201871484518e-05,1.8391844568483005,1.91861939970247,0.4934765625,0.5038671875,{}
AES,CTR,24,256,100,5.975499749183655e-05,5.7416004128754136e-05,4.085693837295422,4.252135422947929,0.5033203125,0.499453125,{}
AES,CTR,24,1024,100,0.00016820200253278017,0.00016421900829300285,5.805891043477214,5.946708058652977,0.496796875,0.5055078125,{}
AES,CTR,24,4096,100,0.0006042079906910658,0.0006885700020939112,6.4650750406862505,5.67298893085854,0.4989453125,0.496796875,{}
AES,CTR,24,16384,100,0.0024486709805205463,0.0022485159966163337,6.381012444831763,6.949027724736311,0.50609375,0.4991015625,{}
AES,CTR,32,64,100,3.479299833998084e-05,3.653500229120255e-05,1.7542367476810452,1.6705940173075333,0.5036328125,0.4952734375,{}
AES,CTR,32,256,100,6.579001201316715e-05,5.7994001545011996e-05,3.7109071351307543,4.209756500601367,0.5094140625,0.4980859375,{}
AES,CTR,32,1024,100,0.00016927199903875588,0.0001710380124859512,5.769191038952697,5.709622590944299,0.50046875,0.502109375,{}
AES,CTR,32,4096,100,0.0006028329976834356,0.000591056989505887,6.4798211362200195,6.608922776237795,0.5008203125,0.4998828125,{}
AES,CTR,32,16384,100,0.002326155004557222,0.002225824994966388,6.7170932157954715,7.019869053198386,0.5013671875,0.5025390625,{}
AES,GCM,16,64,100,0.00024363599717617035,0.00014637601329013704,0.25051780918016886,0.4169751237111512,0.495859375,0.4999609375,{}
AES,GCM,16,256,100,0.0001114829909056425,0.00014525798847898842,2.189936088157492,1.6807380272604764,0.50484375,0.496796875,{}
AES,GCM,16,1024,100,0.0001174170058220625,0.00016267900355160236,8.317044819554624,6.003002715038336,0.502734375,0.4963671875,{}
AES,GCM,16,4096,100,0.00012505799299106002,0.00016253798734396695,31.235508475489805,24.032843422217947,0.4954296875,0.5046875,{}
AES,GCM,16,16384,100,0.00015097400406375528,0.0001816319953650236,103.49463867568664,86.02559239961344,0.5026171875,0.4981640625,{}
AES,GCM,24,64,100,0.00011153698898851871,0.00014751299284398555,0.5472189701685669,0.4137612224745025,0.5005078125,0.5005078125,{}
AES,GCM,24,256,100,0.00011204000562429428,0.0001720039895735681,2.179048667836389,1.4193893153599104,0.5000390625,0.5007421875,{}
AES,GCM,24,1024,100,0.00011490599485114217,0.00015123198041692377,8.498795047770242,6.457380888009034,0.50046875,0.501640625,{}
AES,GCM,24,4096,100,0.00012937100837007165,0.00016339301597326995,30.19416830103074,23.90708058561718,0.501484375,0.498671875,{}
AES,GCM,24,16384,100,0.00015861700754612684,0.00017766801407560707,98.50772147152095,87.94492402752215,0.4987890625,0.49890625,{}
AES,GCM,32,64,100,0.0001237949915230274,0.00015006500063464046,0.4930341324725298,0.4067247925357411,0.5019921875,0.4979296875,{}
AES,GCM,32,256,100,0.00011596699943765997,0.00014880700269713997,2.1052594805752642,1.6406527957349437,0.4989453125,0.5042578125,{}
AES,GCM,32,1024,100,0.00011974700028076768,0.0001480620144866407,8.155214725298164,6.5956315898168,0.503984375,0.501953125,{}
AES,GCM,32,4096,100,0.0001223249896429479,0.0001583920163102448,31.933376911797655,24.661912203635126,0.5037109375,0.4955859375,{}
AES,GCM,32,16384,100,0.0001599429966881871,0.0001962679997086525,97.69105446024204,79.61053265531991,0.4987109375,0.4986328125,{}
DES,ECB,8,64,100,2.538400236517191e-05,2.2078007459640505e-05,2.4044733124411937,2.7645228565836275,0.496171875,0.446875,{}
DES,ECB,8,256,100,2.8323978185653686e-05,2.6902011595666407e-05,8.619573966613881,9.075181018780325,0.50328125,0.42,{}
DES,ECB,8,1024,100,4.691699985414744e-05,4.385700216516853e-05,20.81468344173487,22.266968825689396,0.49234375,0.433125,{}
DES,ECB,8,4096,100,0.00011679999763146042,0.0001094569987617433,33.443921911072366,35.687530666748806,0.5028125,0.44484375,{}
DES,ECB,8,16384,100,0.0003692319942638278,0.0003633020049892366,42.31756793219671,43.00829553765583,0.50359375,0.448359375,{}
DES,CBC,8,64,100,0.0002182889962568879,3.5293998662382366e-05,0.27960711394802656,1.7293352570745548,0.503046875,0.465078125,{}
DES,CBC,8,256,100,0.0007218729937449097,5.802300060167909e-05,0.3382044031505529,4.2076525251769725,0.50109375,0.44234375,{}
DES,CBC,8,1024,100,0.0029137379908934237,0.00015649499837309123,0.3351579665200308,6.240215407215957,0.49609375,0.44671875,{}
DES,CBC,8,4096,100,0.011114140003919602,0.0005374479992315173,0.35146669005630576,7.268145021630825,0.501328125,0.438203125,{}
DES,CBC,8,16384,100,0.04431335800560191,0.0021796130016446115,0.3526024815818461,7.168703796596124,0.5028125,0.4259375,{}
DES,CTR,8,64,100,3.794499905779958e-05,3.596901195123792e-05,1.6085164782064805,1.6968816472563517,0.501328125,0.470546875,{}
DES,CTR,8,256,100,0.00010480501921847463,7.624400313943624e-05,2.3294745501746337,3.20209609867299,0.49453125,0.4328125,{}
DES,CTR,8,1024,100,0.00022823500214144587,0.00021795199252665044,4.2787586953678,4.4806312100156145,0.503203125,0.44421875,{}
DES,CTR,8,4096,100,0.0007597230048850179,0.0007488460000604391,5.141676604345029,5.216359571506996,0.499609375,0.424375,{}
DES,CTR,8,16384,100,0.0029869720060378313,0.0029241299978457393,5.231050029399607,5.343469685517137,0.495390625,0.41546875,{}
3DES,ECB,16,64,100,6.109300069510937e-05,6.807000143453479e-05,0.9990531739405297,0.8966527833659526,0.500859375,0.443515625,{}
3DES,ECB,16,256,100,7.088999729603528e-05,7.390600396320224e-05,3.4439361590108883,3.30339366097452,0.4940625,0.420625,{}
3DES,ECB,16,1024,100,0.00012143099447712303,0.00011741799302399159,8.042118935161808,8.316974893281156,0.505859375,0.4496875,{}
3DES,ECB,16,4096,100,0.00031029799254611134,0.00031202299986034633,12.588705353675525,12.519109173837633,0.50265625,0.435390625,{}
3DES,ECB,16,16384,100,0.0011286179954186082,0.0010586669924668969,13.844365465929538,14.759126440308446,0.504453125,0.43359375,{}
3DES,ECB,24,64,100,7.445600582286715e-05,7.390500977635383e-05,0.8197479246362515,0.8258595247426436,0.502265625,0.452578125,{}
3DES,ECB,24,256,100,8.802599972113966e-05,7.976899854838848e-05,2.7735058479701538,3.060595337070735,0.50171875,0.446328125,{}
3DES,ECB,24,1024,100,0.00013425399083644152,0.0001291810255497694,7.273992332859015,7.559643499066053,0.498671875,0.42953125,{}
3DES,ECB,24,4096,100,0.00032770099584013225,0.00032010899391025303,11.920165179802048,12.202874877971004,0.506953125,0.422421875,{}
3DES,ECB,24,16384,100,0.0010855760076083243,0.001076737002003938,14.393280516970949,14.511435913245279,0.50015625,0.42234375,{}
3DES,CBC,16,64,100,6.951500894501805e-05,7.066899677738548e-05,0.8780140746047365,0.8636765630374935,0.49515625,0.43078125,{}
3DES,CBC,16,256,100,0.00023643500171601772,0.0001023870101198554,1.0325908737202858,2.3844882736023467,0.49625,0.456640625,{}
3DES,CBC,16,1024,100,0.0009288550028577447,0.00023811599239706994,1.0513616194082789,4.101205005884421,0.500078125,0.4525,{}
3DES,CBC,16,4096,100,0.0035799889964982868,0.0007485839840956032,1.091134638631806,5.218185377983087,0.497265625,0.4084375,{}
3DES,CBC,16,16384,100,0.014400138007476925,0.0027829680126160382,1.0850590453985298,5.61450937602126,0.494609375,0.438046875,{}
3DES,CBC,24,64,100,6.593000842258334e-05,8.62970040179789e-05,0.9257568398716194,0.7072685424546614,0.505546875,0.430234375,{}
3DES,CBC,24,256,100,0.00023601999506354333,0.00012702400563284754,1.0344065337950303,1.9220038274156497,0.50125,0.451015625,{}
3DES,CBC,24,1024,100,0.0009575430024415254,0.0002448059944435954,1.0198628129598137,3.9891282164865665,0.50359375,0.440625,{}
3DES,CBC,24,4096,100,0.0035964280110783874,0.0007802609982900322,1.0861471404313505,5.006337633895166,0.506796875,0.43046875,{}
3DES,CBC,24,16384,100,0.014358385992236435,0.002838221995625645,1.0882142330237132,5.505207141682972,0.4975,0.418515625,{}
3DES,CTR,16,64,100,7.317800540477038e-05,7.549898466095328e-05,0.8340642234288228,0.8084235374037592,0.501640625,0.453515625,{}
3DES,CTR,16,256,100,0.00011781499255448579,0.0001225610007531941,2.0722373248641723,1.9919927505457922,0.50359375,0.4371875,{}
3DES,CTR,16,1024,100,0.0002948230132460594,0.0002911400003358722,3.3123686283775973,3.354271137162168,0.49953125,0.431484375,{}
3DES,CTR,16,4096,100,0.0009582209913060069,0.000981481010094285,4.076564837800076,3.9799547416864947,0.4953125,0.4365625,{}
3DES,CTR,16,16384,100,0.0036660919873975216,0.004005696000531316,4.26203162760568,3.9006954092191464,0.50046875,0.421328125,{}
3DES,CTR,24,64,100,8.593000238761306e-05,8.896101266145707e-05,0.7102892418725024,0.6860888205293989,0.5003125,0.43234375,{}
3DES,CTR,24,256,100,0.00012867400655522943,0.00013152202125638724,1.8973577611824033,1.8562718445763207,0.497578125,0.43234375,{}
3DES,CTR,24,1024,100,0.00032797199208289384,0.0003136129933409393,2.9775789505622696,3.1139095660438594,0.491328125,0.425625,{}
3DES,CTR,24,4096,100,0.0009863970149308443,0.0009993250062689185,3.960119445691819,3.908888475216268,0.501640625,0.43703125,{}
3DES,CTR,24,16384,100,0.0038044999889098106,0.004412659022491426,4.106978589971657,3.5409488746714874,0.494609375,0.455703125,{}
Twofish,ECB,16,64,100,2.8286003507673742e-05,2.7976997662335633e-05,2.1577864908855613,2.181619235439595,0.4966015625,0.4993359375,{}
Twofish,ECB,16,256,100,8.919000392779708e-05,8.860900765284895e-05,2.7373092751250656,2.7552574108096377,0.4948046875,0.5020703125,{}
Twofish,ECB,16,1024,100,0.00033325200201943516,0.00034061199985444544,2.930402500456838,2.8670819008646697,0.5005078125,0.50234375,{}
Twofish,ECB,16,4096,100,0.0012801869888789952,0.0012603819998912513,3.0513120613892,3.099258796410168,0.4991796875,0.50734375,{}
Twofish,ECB,16,16384,100,0.00500814100028947,0.004966768994927406,3.119920145837922,3.1459083391955445,0.5018359375,0.5032421875,{}
Twofish,ECB,24,64,100,2.7932997327297925e-05,2.7476008981466293e-05,2.185055743744067,2.221398176539058,0.5007421875,0.5053125,{}
Twofish,ECB,24,256,100,8.860198548063636e-05,8.488899562507868e-05,2.755475779415305,2.875998510787819,0.4897265625,0.49640625,{}
Twofish,ECB,24,1024,100,0.00032706100028008224,0.0003288870118558407,2.985872663398296,2.9692948179663947,0.5060546875,0.505859375,{}
Twofish,ECB,24,4096,100,0.001299790998455137,0.0012999450019560753,3.005290854177912,3.004934819644001,0.5005859375,0.4975390625,{}
Twofish,ECB,24,16384,100,0.005176339005120098,0.004996333005838096,3.0185426388311827,3.1272935534406052,0.496171875,0.497734375,{}
Twofish,ECB,32,64,100,2.8722002170979976e-05,2.747301012277603e-05,2.1250313918459507,2.2216406566748885,0.4989453125,0.5019921875,{}
Twofish,ECB,32,256,100,8.747099200263619e-05,8.708199253305793e-05,2.7911038781021498,2.8035718740280284,0.4945703125,0.50109375,{}
Twofish,ECB,32,1024,100,0.0003359639993868768,0.0003197569958865643,2.9067474544361724,3.0540770415119907,0.49859375,0.5013671875,{}
Twofish,ECB,32,4096,100,0.0012589769926853477,0.0012636299966834485,3.102717541857635,3.0912925541910456,0.4970703125,0.500703125,{}
Twofish,ECB,32,16384,100,0.0049446340114809575,0.0049467080063186585,3.1599912073816334,3.158666325168469,0.50328125,0.499921875,{}
Twofish,CBC,16,64,100,4.898098995909095e-05,4.366700537502765e-05,1.2460988702142755,1.3977408280189707,0.5016015625,0.5048046875,{}
Twofish,CBC,16,256,100,0.0001559020159766078,0.00011937699280679227,1.565987607476685,2.045122927456663,0.5053515625,0.4962890625,{}
Twofish,CBC,16,1024,100,0.0005822330014780164,0.00044622300192713736,1.677270950840928,2.1885077546035165,0.4966796875,0.4988671875,{}
Twofish,CBC,16,4096,100,0.0022635570028796794,0.0017396969790570438,1.7257131121639524,2.245362294137729,0.49671875,0.5019140625,{}
Twofish,CBC,16,16384,100,0.008830383003223688,0.00677396500017494,1.7694589231628817,2.3066254401368296,0.5022265625,0.50125,{}
Twofish,CBC,24,64,100,5.012800684198737e-05,3.963900031521916e-05,1.2175859383835859,1.5397753668012135,0.5026953125,0.504609375,{}
Twofish,CBC,24,256,100,0.00015725400066003204,0.00011718800757080316,1.5525240946194332,2.0833243098914713,0.4998828125,0.499375,{}
Twofish,CBC,24,1024,100,0.0005737329833209514,0.00044031100580468776,1.7021201994477317,2.217892551232711,0.5001171875,0.4994140625,{}
Twofish,CBC,24,4096,100,0.0023339659953489898,0.001731038000434637,1.6736533470428356,2.2565940198997367,0.504140625,0.497265625,{}
Twofish,CBC,24,16384,100,0.009017350964713842,0.0069143009977415204,1.7327705288551831,2.25980905446606,0.50046875,0.501953125,{}
Twofish,CBC,32,64,100,4.715499002486468e-05,3.846900071948767e-05,1.2943520127523376,1.586606231211011,0.50125,0.4976171875,{}
Twofish,CBC,32,256,100,0.0001570739899761975,0.00011963400058448315,1.5543033256938104,2.040729423134126,0.50234375,0.4990625,{}
Twofish,CBC,32,1024,100,0.0005653199856169522,0.0004470919957384467,1.727450868262238,2.1842540446000265,0.499296875,0.4996875,{}
Twofish,CBC,32,4096,100,0.0022584780002944172,0.0017615230102092027,1.7295940006901895,2.2175412852177754,0.5004296875,0.496640625,{}
Twofish,CBC,32,16384,100,0.008879835994448512,0.006824318000581115,1.7596045703736447,2.2896060820538366,0.4967578125,0.5008984375,{}
Twofish,CTR,16,64,100,3.7228008732199666e-05,3.501800820231438e-05,1.6394955929299755,1.7429648167700789,0.50453125,0.4998828125,{}
Twofish,CTR,16,256,100,0.00012495100265368819,0.00012249599443748594,1.9538908837462914,1.9930498635577316,0.500859375,0.4967578125,{}
Twofish,CTR,16,1024,100,0.0004800870013423264,0.00047508700285106895,2.034136515401427,2.055544551081172,0.502734375,0.498125,{}
Twofish,CTR,16,4096,100,0.0019104839954525233,0.0018361059948801995,2.044638954996717,2.127464324441069,0.5024609375,0.4993359375,{}
Twofish,CTR,16,16384,100,0.00734071800019592,0.007339607998728752,2.128538379976315,2.128860288275111,0.5,0.496640625,{}
Twofish,CTR,24,64,100,3.668299643322825e-05,3.499100683256984e-05,1.663854160907996,1.744309803431781,0.49828125,0.5010546875,{}
Twofish,CTR,24,256,100,0.0001260810042731464,0.0001211179979145527,1.9363791271132724,2.015725401704859,0.499609375,0.4995703125,{}
Twofish,CTR,24,1024,100,0.00047681401018053295,0.0004678310244344175,2.0480994248265705,2.0874256921729626,0.505625,0.5055078125,{}
Twofish,CTR,24,4096,100,0.0018242540070787072,0.001845336004626006,2.1412862380142577,2.116823164024093,0.49953125,0.504609375,{}
Twofish,CTR,24,16384,100,0.008206311985850335,0.0073439329862594604,1.9040221754841002,2.1276065603041943,0.5007421875,0.5028125,{}
Twofish,CTR,32,64,100,3.68969957344234e-05,3.491898998618126e-05,1.6542039544172609,1.7479072640461213,0.4983203125,0.499921875,{}
Twofish,CTR,32,256,100,0.00012668600538745522,0.00012108900118619203,1.927131763712359,2.0162080998966876,0.498046875,0.49984375,{}
Twofish,CTR,32,1024,100,0.0004677949985489249,0.00045864199288189414,2.0875864492550043,2.1292478995735498,0.5005078125,0.5009765625,{}
Twofish,CTR,32,4096,100,0.001934909005649388,0.0019204250047914683,2.0188287865707655,2.034054956717336,0.494453125,0.5033203125,{}
Twofish,CTR,32,16384,100,0.007750518005341291,0.007470505996607244,2.0159942844119563,2.0915584576327424,0.49875,0.4966015625,{}
ChaCha20,Stream,32,64,100,1.4248995576053858e-05,1.2626003008335828e-05,4.283470783903716,4.834083772172707,0.5925390625,0.594267578125,{}
ChaCha20,Stream,32,256,100,1.540398458018899e-05,1.430500764399767e-05,15.84918653541035,17.066794445401122,0.594326171875,0.594697265625,{}
ChaCha20,Stream,32,1024,100,1.949698897078633e-05,1.8509000074118376e-05,50.0878623598367,52.76149419684498,0.593271484375,0.59689453125,{}
