algorithm,mode,key_size_bytes,message_size_bytes,repetitions,avg_encrypt_time_s,avg_decrypt_time_s,throughput_encrypt_mbps,throughput_decrypt_mbps,avalanche_score,key_avalanche_score,ci95_encrypt_mbps,ci95_decrypt_mbps
AES,ECB,16,64,100,5.7702679969224844e-05,3.7884119969930906e-05,1.0577525390944147,1.6111013347662386,0.4957421875,0.5027734375,0.6321169204899811,0.07288721667341914
AES,ECB,16,256,100,4.223658999762847e-05,3.8762230010434e-05,5.780310981869231,6.298415362952089,0.5055078125,0.5011328125,0.4313361221744825,0.12943907671253213
AES,ECB,16,1024,100,5.0314389986851894e-05,4.724851000901253e-05,19.40920878212365,20.66864118707073,0.50328125,0.4998828125,1.3637203298232745,0.32227485850004817
AES,ECB,16,4096,100,0.00010559957997429591,9.460041000693309e-05,36.99115092077851,41.29210433351947,0.4964453125,0.4967578125,2.0311684592546486,1.7933256534871778
AES,ECB,16,16384,100,0.0003734334700038744,0.00026140193999253826,41.8414557212504,59.77384865791745,0.4978125,0.49921875,4.0472933501095465,2.238912968047905
AES,ECB,24,64,100,5.343681001249934e-05,5.5735099999765224e-05,1.142193110623994,1.095093688721418,0.4969140625,0.498828125,0.11380024069992352,0.03337437897075189
AES,ECB,24,256,100,5.980246001399792e-05,5.9188340014770804e-05,4.0824512059011315,4.1248094631319825,0.4998046875,0.5011328125,0.08293012619900876,0.11764269042035855
AES,ECB,24,1024,100,5.110522996801592e-05,5.078117002540239e-05,19.108856385367588,19.230799517055075,0.5005078125,0.5087109375,0.47915015645412273,0.5362446023723103
AES,ECB,24,4096,100,8.772918999511603e-05,8.284751000701362e-05,44.52622895774444,47.14987812752983,0.503984375,0.5008203125,0.7417953967578578,0.38238631140847945
AES,ECB,24,16384,100,0.0002545928000199638,0.00022311709997666185,61.37251327914525,70.03049072273879,0.4996484375,0.5026953125,2.240773878198149,0.5952856506108303
AES,ECB,32,64,100,3.774400995553151e-05,3.6381430013534556e-05,1.6170819243082328,1.6776458821792823,0.4991015625,0.5003515625,0.05034891251184416,0.04506293549015185
AES,ECB,32,256,100,4.0318030009984795e-05,4.0358559990636424e-05,6.055370883436972,6.049289792714185,0.499609375,0.4980859375,0.1382057683342779,0.1280534290645427
AES,ECB,32,1024,100,5.222490999130969e-05,5.269735999263503e-05,18.699170571332754,18.53152606006229,0.5016015625,0.4993359375,0.37243483715316494,0.4951353810676637
AES,ECB,32,4096,100,0.00010231867997845256,9.069734999229695e-05,38.17729080186162,43.06906431479821,0.495390625,0.496953125,1.3238602101090278,0.8689581296959534
AES,ECB,32,16384,100,0.0003330009099863673,0.00025579332999768666,46.92179369912133,61.08447002954029,0.5043359375,0.502109375,2.928809209240191,1.3406034243003404
AES,CBC,16,64,100,0.0002228540099758902,5.5965299989111376e-05,0.2738795512658856,1.090589280534099,0.503046875,0.5065234375,0.007774581640966319,0.03822324056318564
AES,CBC,16,256,100,0.0006894825900053547,8.878397002717975e-05,0.3540925159518588,2.749827755227215,0.501484375,0.4971484375,0.004118847545562714,0.057561430592184284
AES,CBC,16,1024,100,0.0026533756000026187,0.00020831435000218335,0.3680453306343196,4.6879271638740425,0.496875,0.4963671875,0.004423515562119986,0.03370998132679037
AES,CBC,16,4096,100,0.010283702709971294,0.0007501923499830809,0.3798485924930928,5.206997912052953,0.501015625,0.506171875,0.0029092041753747385,0.12150676089731276
AES,CBC,16,16384,100,0.04098731154998859,0.0027929623699856163,0.38121553742171094,5.594418373807331,0.501640625,0.500703125,0.002607555475622687,0.05819318519537207
AES,CBC,24,64,100,0.00022264598001129344,5.7841609991555745e-05,0.27413545147729174,1.055211918529074,0.4998046875,0.501953125,0.007382274066316828,0.0229627264541457
AES,CBC,24,256,100,0.0007064229299749058,8.668364000186557e-05,0.3456012179682114,2.816455619477282,0.4973046875,0.5057421875,0.005727103746256137,0.0871486050256889
AES,CBC,24,1024,100,0.0025854686100228717,0.00020966904001397778,0.3777119924079686,4.6576380563143545,0.5019140625,0.50140625,0.002797557890287136,0.033106542759005486
AES,CBC,24,4096,100,0.01035789315999409,0.0008042168299971309,0.37712785212801214,4.857209964151006,0.5005859375,0.4998046875,0.0025380909479017825,0.11011142315288695
AES,CBC,24,16384,100,0.040781617279990315,0.0025878772499709156,0.38313831187039454,6.037767054127318,0.5040234375,0.4975390625,0.0015720797887236039,0.008809102996624095
AES,CBC,32,64,100,0.00021353406000343967,5.375256000661466e-05,0.285833352529413,1.1354837098454318,0.5003515625,0.4961328125,0.009498733936344591,0.009610630673169144
AES,CBC,32,256,100,0.000685676479988615,8.420827001373254e-05,0.3560580421309678,2.8992476031176744,0.5023828125,0.5,0.0038241138692202943,0.01754937483102095
AES,CBC,32,1024,100,0.002562549779991059,0.0002284944400207678,0.38109015778940586,4.273900493645449,0.5065234375,0.4976953125,0.0022393693887878497,0.08432558380426272
AES,CBC,32,4096,100,0.010380909290006457,0.0007507818700059943,0.376291699587481,5.202909334996079,0.4984375,0.493671875,0.0019398953008833146,0.08142765852930005
AES,CBC,32,16384,100,0.04110296568000194,0.00317491464998966,0.38014288607895075,4.921392138856674,0.504453125,0.4993359375,0.0027356650586298913,0.04378453814019094
AES,CTR,16,64,100,7.359043996075344e-05,7.391984999230772e-05,0.8293897452243891,0.8256937244373665,0.4944140625,0.498046875,0.1010822722738497,0.11979379816649309
AES,CTR,16,256,100,0.0001243384100143885,0.00010454007000589627,1.9635173473084298,2.3353784341853796,0.50484375,0.505,0.12043193185846171,0.0888978702515841
AES,CTR,16,1024,100,0.0004104946999905223,0.0002890385100226922,2.378989302474666,3.3786587812237574,0.5024609375,0.499765625,0.1876117224185638,0.13524099454884025
AES,CTR,16,4096,100,0.0009760048099542473,0.0009121692900225753,4.002285603677625,4.282373943879786,0.496640625,0.5019140625,0.12326097953067836,0.09527462850022735
AES,CTR,16,16384,100,0.003575084540025273,0.0033559442299792865,4.370526018355232,4.655917658112108,0.4987109375,0.4982421875,0.04793426909942291,0.041751402200226044
AES,CTR,24,64,100,6.275612998706493e-05,6.800050001402269e-05,0.9725768026578495,0.8975692272470595,0.50015625,0.5019921875,0.06400490130193645,0.07358640266176096
AES,CTR,24,256,100,0.00011510078000810608,0.00010183118001350522,2.121103132253371,2.3975036424759213,0.5038671875,0.50109375,0.20208787719607763,0.05749060453675113
AES,CTR,24,1024,100,0.0003260317600233975,0.00029125332000603523,2.995298678662218,3.352966070840889,0.4971875,0.505546875,0.1554617512127777,0.1449986892980137
AES,CTR,24,4096,100,0.0010004506799714363,0.001019319329998325,3.9044903244121207,3.832214189449757,0.4991796875,0.503671875,0.09822226387316225,0.10201819096836262
AES,CTR,24,16384,100,0.004074371580004481,0.0036898367599906123,3.8349472288393525,4.23460467666861,0.49578125,0.49671875,0.13105106845732167,0.0636194584955584
AES,CTR,32,64,100,6.390078000094946e-05,6.978954998885455e-05,0.9551551052912518,0.8745601062013921,0.499921875,0.5053125,0.05986181256396676,0.03649072004566892
AES,CTR,32,256,100,0.00010545494999860239,9.701131999463541e-05,2.315117735139371,2.516619967788302,0.4987890625,0.49640625,0.06671509833776593,0.03790875552807171
AES,CTR,32,1024,100,0.0002675618699822735,0.00025022248003551793,3.6498567604744996,3.9027768402798237,0.4993359375,0.50125,0.11622804312478466,0.017389389091656462
AES,CTR,32,4096,100,0.001087816089975604,0.0012581228400358668,3.5909102981622603,3.104824008988375,0.497578125,0.499921875,0.08161325538572474,0.12345926877545452
AES,CTR,32,16384,100,0.004325334039981499,0.003981113540039587,3.6124377575394924,3.9247813062484593,0.5061328125,0.5034375,0.08998603799202,0.06226662232505935
AES,GCM,16,64,100,0.00045616468999014613,0.0003896313799850759,0.1338007030998354,0.15664846155958445,0.49734375,0.50015625,0.07259413745433937,0.014389530518386115
