algorithm,mode,key_size_bytes,message_size_bytes,repetitions,avg_encrypt_time_s,avg_decrypt_time_s,throughput_encrypt_mbps,throughput_decrypt_mbps,avalanche_score,key_avalanche_score,ci95_encrypt_mbps,ci95_decrypt_mbps,extra
AES,ECB,16,64,100,0.0007145489985123277,3.36630007950589e-05,0.08541773395116864,1.8131228591765596,0.50125,0.5021875,0.15415091057988545,0.11631324433626238,{}
AES,ECB,16,256,100,2.8269999311305583e-05,3.3496000105515124e-05,8.63603222311946,7.2886501143699896,0.50046875,0.5015625,2.1034216807111146,1.2768296765021947,{}
AES,ECB,16,1024,100,2.7769000153057276e-05,4.799600108526647e-05,35.16736269283659,20.346747185564578,0.4999609375,0.5003515625,6.214417870737192,7.661989052875519,{}
AES,ECB,16,4096,100,3.3927001059055325e-05,3.0312001472339032e-05,115.13690801024684,128.86809878142213,0.49921875,0.4987109375,18.12200880325619,8.351204014914037,{}
AES,ECB,16,16384,100,4.915900295600295e-05,2.91709991870448e-05,317.8461535109712,535.634720628262,0.4999609375,0.50546875,19.843565313016462,13.191243843402063,{}
AES,ECB,24,64,100,6.835400068666786e-05,5.975800275336951e-05,0.8929273434891226,1.021372091398394,0.49828125,0.4961328125,0.3560009585164965,0.20902849589942876,{}
AES,ECB,24,256,100,4.3342000572010876e-05,3.079799760598689e-05,5.632887771167157,7.927159035577721,0.4930859375,0.5028515625,0.7664124569529192,1.479253789317665,{}
AES,ECB,24,1024,100,4.60790004581213e-05,4.482100368477404e-05,21.193222298464235,21.788055146380938,0.493203125,0.50203125,2.915787956362182,3.214860502100231,{}
AES,ECB,24,4096,100,6.953799864277243e-05,2.480899856891483e-05,56.174323049862515,157.45294954768758,0.5009375,0.501640625,13.16075254323537,3.918025713051706,{}
AES,ECB,24,16384,100,0.00020140400098171086,6.410700152628123e-05,77.58038531428618,243.73312786426914,0.501171875,0.5004296875,36.16477755694509,30.51127528273445,{}
AES,ECB,32,64,100,2.510999795049429e-05,2.534699917305261e-05,2.430711319464625,2.4079835184154215,0.495546875,0.49859375,0.23926153293504537,0.14278570155683518,{}
AES,ECB,32,256,100,4.420599900186062e-05,2.0189000642858446e-05,5.5227939762140466,12.092754332858028,0.4966015625,0.498984375,0.4301441152469379,0.6510514834362426,{}
AES,ECB,32,1024,100,3.101200156379491e-05,2.3178001283667983e-05,31.489824930877468,42.133162736862886,0.5055859375,0.4946875,2.3592004202802044,2.322296705275546,{}
AES,ECB,32,4096,100,4.232999694067985e-05,7.771599979605526e-05,92.280894928344,50.263137709749635,0.501796875,0.498125,15.166220336650658,19.19021339028071,{}
AES,ECB,32,16384,100,7.90729996515438e-05,5.517899815458804e-05,197.60221654491062,283.1693311325698,0.50234375,0.498046875,22.684827083342935,31.887041719852988,{}
AES,CBC,16,64,100,0.00034238000167533753,0.00010776799987070262,0.17826729350821344,0.5663569549701996,0.5044140625,0.495703125,0.05473471606025985,0.1984675561086982,{}
AES,CBC,16,256,100,0.0009847800026182086,0.00010249100159853697,0.24791387350566602,2.382068876215227,0.5084375,0.49421875,0.046007997671544544,0.12779588086347865,{}
