algorithm,mode,key_size_bytes,message_size_bytes,repetitions,avg_encrypt_time_s,avg_decrypt_time_s,throughput_encrypt_mbps,throughput_decrypt_mbps,avalanche_score,key_avalanche_score,ci95_encrypt_mbps,ci95_decrypt_mbps
AES,ECB,16,64,100,5.1749060016845764e-05,3.7014159984209984e-05,1.179444732525216,1.6489677538552063,0.49703125,0.4962109375,0.5870525003107089,0.07933502683887395
AES,ECB,16,256,100,4.129561001491311e-05,3.894251002520832e-05,5.912023697236421,6.26925755021858,0.4934375,0.501875,0.3865391215031109,0.14768230435441235
AES,ECB,16,1024,100,4.996161001145083e-05,4.8405729983187485e-05,19.54625761211817,20.174522733965265,0.5020703125,0.498671875,1.0945171225115666,0.42262636047298674
AES,ECB,16,4096,100,9.188847000359602e-05,7.773274999181012e-05,42.51077420101924,50.25230678718507,0.4994921875,0.5023046875,1.8985567499937406,0.9266017551022045
AES,ECB,16,16384,100,0.0002245153700073388,0.00019115926997983478,69.59434447400756,81.73812340698029,0.499296875,0.4998046875,2.1543889875369127,0.37336795083531893
AES,ECB,24,64,100,3.784576998668854e-05,3.698042000223722e-05,1.6127339005513124,1.6504722295286947,0.5011328125,0.497421875,0.04926843462794227,0.049473347636150286
AES,ECB,24,256,100,4.0777090011943075e-05,3.956606000201646e-05,5.987200776918962,6.170455814593557,0.5007421875,0.5017578125,0.18252120341858125,0.14476143903508176
AES,ECB,24,1024,100,5.095872000538293e-05,5.076930000541324e-05,19.16379571340965,19.235295737697285,0.4969921875,0.4953125,0.45436655215132643,0.6584818858367399
AES,ECB,24,4096,100,9.446943001421459e-05,8.259120999809966e-05,41.34935501793793,47.296195322600056,0.5003125,0.4982421875,1.2980613399592065,0.4138765101645226
AES,ECB,24,16384,100,0.0002433690200177807,0.00022026470999662707,64.20291292153136,70.93737349137439,0.4965625,0.5029296875,1.2569933924772538,0.24868113938050462
AES,ECB,32,64,100,3.74034500146081e-05,3.737635000561568e-05,1.6318055213132057,1.632988674411216,0.4972265625,0.50609375,0.03447571662929435,0.0551312831446371
AES,ECB,32,256,100,4.0654399999766614e-05,4.0565690005678336e-05,6.005269417366916,6.018401880156001,0.5048046875,0.4980859375,0.12255761465990475,0.16032852579997117
AES,ECB,32,1024,100,5.3151290007917854e-05,5.194703999450212e-05,18.373260552180827,18.79919433529525,0.4983984375,0.498984375,0.38515666842725477,0.7105287728578238
AES,ECB,32,4096,100,0.00010061927999004183,8.933472999615332e-05,38.822082610674585,43.725995479789326,0.5000390625,0.5016015625,1.071974316504102,0.3783164312200402
AES,ECB,32,16384,100,0.00028506659001095616,0.00024709764001727306,54.811754683000466,63.23411263218764,0.506953125,0.4971875,1.5342242370140913,0.2546037480833129
AES,CBC,16,64,100,0.0002117067299991504,5.363661000501452e-05,0.288300500651278,1.137938364193669,0.4949609375,0.5021875,0.0053230912668209085,0.011492620600615648
AES,CBC,16,256,100,0.0006696410499898775,8.474126999999498e-05,0.3645843172303886,2.881012108976116,0.5004296875,0.5003515625,0.0029189748834360174,0.02751143831641368
AES,CBC,16,1024,100,0.002499935190010092,0.00020859695999661198,0.39063512682345086,4.681575896484116,0.502890625,0.5028125,0.0009665800708197238,0.011457797356621854
AES,CBC,16,4096,100,0.009825265180006681,0.000694517449999239,0.3975719666018565,5.624408717166545,0.5008984375,0.4982421875,0.0005031143201228047,0.009606208747245795
AES,CBC,16,16384,100,0.0390018829599876,0.0026398047899965603,0.4006216832153934,5.918998275633995,0.49953125,0.5021875,0.00028974691112210237,0.006227536396181847
AES,CBC,24,64,100,0.00020529345999193539,5.3470920006475355e-05,0.2973068711122004,1.1414644865397605,0.50125,0.4975390625,0.004158100079327904,0.006968920282240272
AES,CBC,24,256,100,0.0006761838999887004,8.429719999412555e-05,0.36105654837993006,2.896189019528686,0.5044921875,0.50109375,0.003144071765453849,0.022653001590426977
AES,CBC,24,1024,100,0.002509694590005438,0.00021061248001842615,0.3891160716881826,4.63677413567592,0.503359375,0.499140625,0.0010444479871707982,0.011575960636846008
