"algorithm","mode","key_size_bytes","message_size_bytes","repetitions","avg_encrypt_time_s","avg_decrypt_time_s","throughput_encrypt_mbps","throughput_decrypt_mbps","avalanche_score","key_avalanche_score","ci95_encrypt_mbps","ci95_decrypt_mbps"
"AES","ECB","16","64","100","7.417277007334632e-05","4.7184549912344665e-05","0.8228782097479291","1.2935411350407238","0.499296875","0.49609375","0.5798454769465914","0.1907089725545082"
"AES","ECB","16","256","100","5.403033996117301e-05","4.179080035100924e-05","4.5185839136944725","5.841970552117077","0.5005078125","0.4967578125","0.5933683036076286","0.22911818187865846"
"AES","ECB","16","1024","100","5.709165001462679e-05","5.836813001224073e-05","17.105172117985838","16.731091090209663","0.4958984375","0.4958984375","1.0082912116556404","0.8750848514605882"
"AES","ECB","16","4096","100","0.00011990834016614827","9.564469994074898e-05","32.57696666126304","40.84125939461242","0.4978125","0.4992578125","3.7280096807896372","1.5035868425269494"
"AES","ECB","16","16384","100","0.00038889565010322255","0.00026857693006604677","40.177872896888246","58.17699977491588","0.5030859375","0.500390625","2.3896746529351263","2.2204682605085195"
"AES","ECB","24","64","100","4.4856300046376415e-05","4.2914679943351076e-05","1.3606819150687073","1.4222442374163946","0.4990234375","0.5015234375","0.13794378547283143","0.07458693737420671"
"AES","ECB","24","256","100","4.951343977154465e-05","4.306076989450958e-05","4.930795075568704","5.669676264453621","0.5025390625","0.501484375","0.35549734036778485","0.3128785088461761"
"AES","ECB","24","1024","100","5.8368649952171836e-05","5.664459000399802e-05","16.730942051944155","17.240172449497358","0.5","0.4973828125","1.49745387550654","0.7089714592279921"
"AES","ECB","24","4096","100","0.0001229394198890077","0.00010186731000430882","31.773779342107233","38.34645284964109","0.4986328125","0.49984375","1.5909004503242739","1.500317282695129"
"AES","ECB","24","16384","100","0.0004233711800770834","0.0003668760199070675","36.906149344306215","42.58931942174343","0.506640625","0.50234375","2.0782266783817964","2.6556265145991835"
"AES","ECB","32","64","100","4.329443985625403e-05","4.694917006418109e-05","1.4097689322843443","1.3000263085920987","0.5017578125","0.501953125","0.16869606173299984","0.2066561381590482"
"AES","ECB","32","256","100","4.403610004374059e-05","4.2871120022027754e-05","5.544101879083246","5.694757330215709","0.4946484375","0.5004296875","0.35140466274876814","0.281594375421005"
"AES","ECB","32","1024","100","5.437600986624602e-05","5.454147016280331e-05","17.95943656774644","17.9049537367624","0.4994140625","0.5015234375","0.5001744857125692","0.7210453321053801"
"AES","ECB","32","4096","100","0.00010257442001602612","9.729211971716723e-05","38.0821066245336","40.149705971620854","0.4996484375","0.500703125","1.2525760207849914","1.8338819883535205"
"AES","ECB","32","16384","100","0.0002974274101143237","0.00033426502974180037","52.53382663687297","46.74434538386912","0.4923046875","0.5001171875","1.5138478741597208","1.9412406230762937"
"AES","CBC","16","64","100","0.0002936083403619705","6.968753012188245e-05","0.20787950429049037","0.8758404285996422","0.49625","0.4984375","0.007854745317480136","0.08240361378105196"
"AES","CBC","16","256","100","0.0009031111900549149","0.00010529522984143114","0.27033285346088415","2.3186294893668253","0.5004296875","0.4948828125","0.013893408374749602","0.16894832617649372"
"AES","CBC","16","1024","100","0.0031882098498317644","0.0004191611902206205","0.3063043356608196","2.3298018108164977","0.504453125","0.504296875","0.005633856332940939","0.141691160447114"
"AES","CBC","16","4096","100","0.013949643509877206","0.001026892960035184","0.28002507714509944","3.8039505109336442","0.49953125","0.4973046875","0.0061932569320025145","0.13989644421617148"
"AES","CBC","16","16384","100","0.04660583054010203","0.0025937418200919636","0.33525848201665354","6.024115383791745","0.50078125","0.5013671875","0.0166035654700009","0.021517245964142253"
"AES","CBC","24","64","100","0.00020844242000748637","5.4161219995876305e-05","0.2928154271467769","1.1269162004594258","0.4994921875","0.4960546875","0.0077189223327508855","0.011289328934981937"
"AES","CBC","24","256","100","0.0006733474501743331","8.453999998891959e-05","0.36257748497717","2.8878711264726613","0.502734375","0.497734375","0.0007487309438027432","0.012619275965407573"
"AES","CBC","24","1024","100","0.0025471672199637394","0.00021033037974120815","0.38339159374620957","4.642993091162431","0.495546875","0.501015625","0.0009132118494266414","0.014142270621588432"
"AES","CBC","24","4096","100","0.0100626303395984","0.0006934323401583243","0.38819372948921216","5.633210010234201","0.498984375","0.502265625","0.00119908610029182","0.022674349621713934"
"AES","CBC","24","16384","100","0.039903771429926564","0.002616525460180128","0.39156699830837904","5.971659835836008","0.50109375","0.5022265625","0.000465193887625122","0.008206093465812369"
"AES","CBC","32","64","100","0.00020670376972702797","5.458912990434328e-05","0.2952783896036475","1.118082599172255","0.49890625","0.50109375","0.0028760288187279237","0.00985133552146766"
"AES","CBC","32","256","100","0.0006765276198348147","8.540688999346457e-05","0.3608731082695647","2.8585588940035387","0.503125","0.5","0.0007672820654769687","0.042303061541655335"
"AES","CBC","32","1024","100","0.0025695140099924172","0.0002105110800039256","0.3800572778363181","4.639007599893502","0.503125","0.497734375","0.0012374417339170685","0.012571837771934644"
"AES","CBC","32","4096","100","0.010725133310152159","0.0009244335800030968","0.36421458708605847","4.225560477786749","0.4979296875","0.49796875","0.005387412032260096","0.0333080949403403"
"AES","CBC","32","16384","100","0.0406375006700182","0.002632655610104848","0.38449707148274287","5.935071773165849","0.5015234375","0.50046875","0.0027361389786841085","0.014046454351096568"
"AES","CTR","16","64","100","5.9783599863294515e-05","5.71575299181859e-05","1.0209347779251732","1.0678410410205699","0.5019921875","0.5043359375","0.06924546088630591","0.010577162152602178"
"AES","CTR","16","256","100","9.728966000693617e-05","9.530078998068347e-05","2.5094200656328147","2.5617901493732096","0.500546875","0.4991796875","0.06141260230306515","0.006236642521171023"
"AES","CTR","16","1024","100","0.00025250069000321674","0.00025204771984135735","3.8675636885885702","3.874514320600334","0.4931640625","0.4940234375","0.04483058769891167","0.06899360966206963"
"AES","CTR","16","4096","100","0.000850832630021614","0.0008573924899974373","4.591090964507048","4.555964795086642","0.5023046875","0.5002734375","0.01766219238724837","0.029547798764812023"
"AES","CTR","16","16384","100","0.0033528365496022163","0.003277091529853351","4.6602331395646965","4.767947387999631","0.496328125","0.4998046875","0.023832567446238444","0.009736907176391033"
"AES","CTR","24","64","100","5.834285988385091e-05","5.671421007718891e-05","1.0461461157630758","1.0761880693909025","0.5033203125","0.4991015625","0.019985511646668157","0.007898413473238806"
"AES","CTR","24","256","100","9.944480974809267e-05","9.628551993955626e-05","2.4550363726215743","2.535590244029015","0.504921875","0.5010546875","0.10834254516222837","0.007927847011989418"
"AES","CTR","24","1024","100","0.0002510124301625183","0.00024979505007650005","3.8904945837452094","3.909454969988102","0.50140625","0.49703125","0.012932332354259762","0.007541521666155059"
"AES","CTR","24","4096","100","0.000868121920102567","0.0008610020796186291","4.499655992488341","4.53686476777179","0.50203125","0.4959765625","0.06315740304998921","0.029665736057210686"
"AES","CTR","24","16384","100","0.003389571680127119","0.003320202859795245","4.609726972764304","4.706037751248604","0.4967578125","0.49890625","0.021467126890165188","0.01798326845823094"
"AES","CTR","32","64","100","5.8886260048893747e-05","5.740789991250494e-05","1.0364923192493802","1.0631839231712594","0.497421875","0.504296875","0.024429525555737845","0.008781475929563225"
"AES","CTR","32","256","100","9.69348397484282e-05","9.596180003427434e-05","2.518605546092717","2.544143866755325","0.4971875","0.4988671875","0.012413409684045225","0.0076032928981560706"
"AES","CTR","32","1024","100","0.00025176644994644447","0.0002532635502939229","3.8788428728598805","3.855914121343788","0.4979296875","0.501953125","0.015071769802945246","0.07360441622562239"
"AES","CTR","32","4096","100","0.0008555795101710828","0.0008544151201567728","4.56561892093337","4.571840909467121","0.5031640625","0.5033203125","0.02097533889922989","0.007698974489702584"
"AES","CTR","32","16384","100","0.003370132339987322","0.0033013384898367805","4.636316448053425","4.7329287948211896","0.4987890625","0.499765625","0.018347416725256326","0.010502570581699042"
"AES","GCM","16","64","100","0.0002582337897911202","0.00024632347016449784","0.23635619606314895","0.24778457452405966","0.503359375","0.50140625","0.11785616070207842","0.007291047783850398"
