"algorithm","mode","key_size_bytes","message_size_bytes","repetitions","avg_encrypt_time_s","avg_decrypt_time_s","throughput_encrypt_mbps","throughput_decrypt_mbps","avalanche_score","key_avalanche_score","ci95_encrypt_mbps","ci95_decrypt_mbps"
"AES","ECB","16","64","100","8.148627002810827e-05","3.9808929941500537e-05","0.7490238076788426","1.5332026341750842","0.5009375","0.4979296875","0.6943423943538336","0.12578399775934057"
"AES","ECB","16","256","100","6.416929962142603e-05","4.129706008825451e-05","3.8046328453066334","5.911816106963924","0.50234375","0.498203125","0.8691520790159716","0.3152948659589345"
"AES","ECB","16","1024","100","6.205677003890741e-05","5.560920006246306e-05","15.73659891399004","17.561167916515178","0.5026171875","0.496875","2.104701707883541","1.056965858605084"
"AES","ECB","16","4096","100","0.00012277144011022757","9.602987029211363e-05","31.817253234896175","40.67744742461448","0.4965625","0.4991796875","4.117182246937061","2.1431596306916143"
"AES","ECB","16","16384","100","0.0003329461198518402","0.00025172333011141745","46.92951522292276","62.07211700673149","0.5009375","0.4987890625","2.1345896942975484","2.8681083390496394"
"AES","ECB","24","64","100","4.235876018356066e-05","3.801003993430641e-05","1.4409098846497308","1.60576406537558","0.5006640625","0.4998828125","0.08794102915762596","0.06895805897319396"
"AES","ECB","24","256","100","4.4898319611093026e-05","4.168229996139416e-05","5.437633905115687","5.857177392469255","0.49734375","0.4975390625","0.5922414992924064","0.30888732756828824"
"AES","ECB","24","1024","100","5.54075400941656e-05","5.5854780075605955e-05","17.625083126598355","17.48395569149335","0.50265625","0.4998828125","0.9194602498637255","0.7967894097775992"
"AES","ECB","24","4096","100","0.00011962966993451119","9.496895996562671e-05","32.652852775890764","41.13186036167856","0.4968359375","0.49109375","1.9820459170303308","1.3059631273832912"
"AES","ECB","24","16384","100","0.0003765180301343207","0.0002990378900358337","41.49867668867243","52.25090371700943","0.5015234375","0.499609375","1.719281831535549","1.8596180575309489"
"AES","ECB","32","64","100","4.246078995493008e-05","3.825746967777377e-05","1.437447497203553","1.5953788048209383","0.500859375","0.5032421875","0.1142162587096331","0.059984935283166715"
"AES","ECB","32","256","100","4.520845977822319e-05","4.399796005600365e-05","5.400330517732037","5.5489078286638955","0.50375","0.497578125","0.5811100042698777","0.260410634069947"
"AES","ECB","32","1024","100","5.7399720135435927e-05","5.948516012722394e-05","17.013366924015987","16.416909661357153","0.4965234375","0.50390625","0.5600854681565413","0.7513396932581398"
"AES","ECB","32","4096","100","0.00012488467997172847","0.00010643175977747887","31.278856629046103","36.70192063127541","0.5035546875","0.5055859375","2.29358562727503","1.3348237614569807"
"AES","ECB","32","16384","100","0.0004056569801468868","0.00034067478012730137","38.51776442831638","45.8648567826516","0.502265625","0.5023828125","1.5118629584350047","1.6592729596949962"
"AES","CBC","16","64","100","0.00024987951994262405","9.021645000757416e-05","0.2442583380343237","0.6765413208442115","0.5021875","0.49578125","0.012070326725416363","0.2582462910295521"
"AES","CBC","16","256","100","0.0008008248901751358","9.844936008448712e-05","0.3048614347471241","2.4798599482056947","0.501796875","0.4978515625","0.005087015905584344","0.09076232923749139"
"AES","CBC","16","1024","100","0.0029537980599343427","0.00029733315979683537","0.3306124793181383","3.2844049438255554","0.50078125","0.5011328125","0.003676557420917266","0.16196005248895465"
"AES","CBC","16","4096","100","0.011475447199918562","0.0009745491899957415","0.3404006773720959","4.008263554164023","0.50453125","0.5032421875","0.0032280925396918772","0.11866062071005827"
"AES","CBC","16","16384","100","0.04454718031010998","0.003190575659828028","0.3507517174202361","4.8972353787849645","0.5037890625","0.4925","0.00097755902980701","0.05510995018427167"
"AES","CBC","24","64","100","0.000245372990029864","6.287252013862598e-05","0.24874439620502442","0.9707763600922179","0.498359375","0.506875","0.006899751997237212","0.03958571578178073"
"AES","CBC","24","256","100","0.0008108719703159295","9.945959001925075e-05","0.30108406004572913","2.454671539996754","0.497421875","0.5040234375","0.004530303808618083","0.07135592561786731"
"AES","CBC","24","1024","100","0.0029747427001348115","0.00030095596994215155","0.32828469499420687","3.2448683446542383","0.497734375","0.4985546875","0.0027254938163488057","0.11846808063726899"
"AES","CBC","24","4096","100","0.011427434879988142","0.000979490799982159","0.34183086939665447","3.9880415416573087","0.5020703125","0.4973828125","0.001548385814986415","0.10645551962415614"
"AES","CBC","24","16384","100","0.04439347722982347","0.003201773669643444","0.35196612148919815","4.880107594157344","0.50015625","0.495","0.0005556188191665859","0.054404917404071204"
"AES","CBC","32","64","100","0.0002492655600508442","6.311434011877282e-05","0.2448599647602753","0.9670568706753477","0.49640625","0.502265625","0.007487699366458005","0.027405366982208735"
"AES","CBC","32","256","100","0.0008164791101808078","0.0001029042198570096","0.2990163764825967","2.372503531334723","0.4947265625","0.4972265625","0.005096479210295248","0.06869502337540552"
"AES","CBC","32","1024","100","0.0030058610699052225","0.0003067120801642886","0.32488610660598227","3.1839714284383898","0.5004296875","0.4966015625","0.0036446365781446464","0.15702604670944872"
"AES","CBC","32","4096","100","0.011555460219933594","0.0010184098799436469","0.33804365431171446","3.8356363944703187","0.5004296875","0.49515625","0.0012368184934406536","0.12284621031148604"
"AES","CBC","32","16384","100","0.04527625383994746","0.0033016645201132634","0.345103639873447","4.732461431140189","0.5002734375","0.498359375","0.000548634495023459","0.05822417864805044"
"AES","CTR","16","64","100","7.319409989577253e-05","6.784277011320227e-05","0.8338808228656858","0.8996560156396458","0.5003515625","0.501953125","0.06957383288558924","0.031546102710633336"
"AES","CTR","16","256","100","0.00014101146032771794","0.00012439992991858162","1.7313530718184502","1.9625463226529738","0.500234375","0.498125","0.1922682786940407","0.07671780643538412"
"AES","CTR","16","1024","100","0.00040534209987526994","0.0004084226299164584","2.409230376762008","2.391058742753194","0.4980859375","0.5021875","0.12723328068278053","0.13464509908369443"
"AES","CTR","16","4096","100","0.0013189547401634626","0.0012930226700700587","2.961625506206441","3.0210220519864133","0.501953125","0.504453125","0.09037240525383605","0.09338985371174065"
"AES","CTR","16","16384","100","0.004588720780084259","0.004532088479900267","3.4050884219878577","3.4476378979132027","0.497109375","0.5035546875","0.05280213690374648","0.05810867745986822"
"AES","CTR","24","64","100","7.120392972865375e-05","8.104676999209914e-05","0.8571880299668115","0.7530856103944675","0.50328125","0.500859375","0.06070242133626018","0.09330319198744529"
"AES","CTR","24","256","100","0.00015208850007184083","0.00014998251990618882","1.6052536837741003","1.6277938599291788","0.49625","0.5009765625","0.1369507511849599","0.15445168758260786"
"AES","CTR","24","1024","100","0.0004641053803061368","0.00046527152011549333","2.104182673676035","2.098908825877823","0.500234375","0.5001171875","0.1551486768059965","0.14050315695180374"
"AES","CTR","24","4096","100","0.0014151653498629458","0.0014491796397123834","2.760278154336034","2.695490533371879","0.4991015625","0.5003125","0.08924051123212981","0.08356513522405996"
"AES","CTR","24","16384","100","0.004610100789977878","0.004599627219868126","3.389296831420247","3.3970144216269724","0.4996484375","0.4993359375","0.055288459118323606","0.06348790895419092"
"AES","CTR","32","64","100","6.788416983908973e-05","8.296839987451677e-05","0.8991073529318485","0.7356434057100163","0.496875","0.5008203125","0.051494354989141","0.07431456463190306"
"AES","CTR","32","256","100","0.00015114762012672145","0.00012916939977003494","1.6152462393738893","1.890080974554752","0.498203125","0.50375","0.18632959986384365","0.10231373271021002"
"AES","CTR","32","1024","100","0.0004662451599506312","0.00044500193991552805","2.0945257643069244","2.194512905236716","0.4993359375","0.4995703125","0.12087584593892198","0.1140390709689493"
"AES","CTR","32","4096","100","0.0014223831799972685","0.0013775436302239541","2.7462712263002866","2.835663360705999","0.496328125","0.503203125","0.08068087359362809","0.07618187315827556"
"AES","CTR","32","16384","100","0.004774618889859994","0.0047385941199900115","3.272512500041269","3.2973915056546215","0.50203125","0.498203125","0.0728281180228674","0.07765671900850982"
"AES","GCM","16","64","100","0.0005593399401550414","0.0005427954198967199","0.10911996778395958","0.1124459676937094","0.5007421875","0.5080078125","0.05918973793599684","0.015152060575646983"
"AES","GCM","16","256","100","0.0004105220799829112","0.0005793691799772205","0.594707658623777","0.4213904250302011","0.5003125","0.500859375","0.11008443283445887","0.06808009955729037"
"AES","GCM","16","1024","100","0.0004852019601821667","0.0006465706201925059","2.0126928168908353","1.5103725246737074","0.4954296875","0.4972265625","0.33626008427464066","0.2466173872803355"
"AES","GCM","16","4096","100","0.0006769970901223132","0.0007305223902949365","5.769965716240017","5.347200923469184","0.49984375","0.5014453125","0.7248558126782897","0.32574354100819136"
"AES","GCM","16","16384","100","0.0013184416198782855","0.0013643979198604938","11.851112528928246","11.451937717405503","0.49984375","0.4940625","0.5935817922471618","0.5496125107153328"
"AES","GCM","24","64","100","0.00034140974981710314","0.00047428337980818467","0.1787739110634573","0.1286892158748733","0.495","0.4916796875","0.013964042608037647","0.009725342859759872"
"AES","GCM","24","256","100","0.0003626818199336412","0.0006158395699821994","0.6731537440852967","0.39643543042720814","0.5009765625","0.4973046875","0.04737658158663298","0.08276814052149219"
"AES","GCM","24","1024","100","0.0004388669402396772","0.0005291437698178924","2.225190394762186","1.8455522973200442","0.4961328125","0.49609375","0.15546379389878737","0.12763505070701459"
"AES","GCM","24","4096","100","0.0006109716297578416","0.0007251761198131134","6.3935047222212935","5.386622495245276","0.504375","0.5002734375","0.3805467734134081","0.2845835438848842"
"AES","GCM","24","16384","100","0.0013293555401469347","0.0013611497000965756","11.753815685962355","11.479266387004591","0.50359375","0.4988671875","0.4996596708509643","0.4923022467657924"
"AES","GCM","32","64","100","0.0003324726397841005","0.0004598171699399245","0.18357948578756653","0.13273787983596674","0.5005859375","0.500078125","0.012738067201236759","0.009569316518658045"
"AES","GCM","32","256","100","0.00037019896000856534","0.00046827268990455194","0.6594849023734461","0.52136421846374","0.495234375","0.4946875","0.05001738381203269","0.03644827950555973"
"AES","GCM","32","1024","100","0.0004440807201899588","0.0006218806202377891","2.1990652951163208","1.5703375667609498","0.49390625","0.4990625","0.15179480035888798","0.22852970954770235"
