algorithm,mode,key_size_bytes,message_size_bytes,repetitions,avg_encrypt_time_s,avg_decrypt_time_s,throughput_encrypt_mbps,throughput_decrypt_mbps,avalanche_score,key_avalanche_score,ci95_encrypt_mbps,ci95_decrypt_mbps,extra
AES,ECB,16,64,100,5.375667980842991e-05,3.5379039873078e-05,1.135396688700047,1.725178423975413,0.4925390625,0.4972265625,0.6153053945547824,0.0382575241012882,{}
AES,ECB,16,256,100,4.0719279895711223e-05,3.787157984334044e-05,5.995700946217229,6.44653922571786,0.50265625,0.4977734375,0.2868122522604847,0.044405629538669174,{}
AES,ECB,16,1024,100,4.885414000455057e-05,4.689881992817391e-05,19.989349928358926,20.822752075545118,0.500546875,0.5001171875,0.6169314554427523,0.14234848475957956,{}
AES,ECB,16,4096,100,8.496510017721448e-05,7.583147980767535e-05,45.97475895223577,51.51224807833205,0.4980859375,0.4988671875,2.0917729881682035,0.3320300266625306,{}
AES,ECB,16,16384,100,0.0002090739700361155,0.0001900939100960386,74.73431531099224,82.19621550267439,0.499921875,0.500390625,1.057659747441845,0.3559937920317505,{}
AES,ECB,24,64,100,3.7297860108083116e-05,3.539331002684776e-05,1.6364251480682825,1.7244828529375043,0.501484375,0.5000390625,0.04571777658937178,0.020085033192000085,{}
AES,ECB,24,256,100,3.916915997251636e-05,3.804194027907215e-05,6.232980875038041,6.4176701611170985,0.502109375,0.5025,0.0863920096239801,0.05621059495151315,{}
AES,ECB,24,1024,100,4.9986750236712394e-05,4.839178967813495e-05,19.536427060680793,20.180334442998372,0.5006640625,0.503359375,0.18921912607629335,0.10126475753674247,{}
AES,ECB,24,4096,100,8.702602011908312e-05,8.345568025106332e-05,44.88600070019099,46.80628074983824,0.5009375,0.5006640625,0.6518236725891098,0.2971051061544121,{}
AES,ECB,24,16384,100,0.00023597077997692396,0.00021818948007421569,66.21582554216246,71.61206853183417,0.5028515625,0.500390625,0.55004179387306,0.17843939187873167,{}
