algorithm,mode,key_size_bytes,message_size_bytes,repetitions,avg_encrypt_time_s,avg_decrypt_time_s,throughput_encrypt_mbps,throughput_decrypt_mbps,avalanche_score,key_avalanche_score,ci95_encrypt_mbps,ci95_decrypt_mbps,extra
AES,CBC,16,64,100,0.00016421199776232243,4.591899691149592e-05,0.3716851209516446,1.3291918455370202,0.502421875,0.4976953125,0.034469173508406344,0.33169726372599867,{}
AES,CBC,16,256,100,0.0004866899992339313,6.204799865372479e-05,0.501634768300739,3.9347058776624064,0.496875,0.5011328125,0.04681086499963442,0.3543130550575418,{}
AES,CBC,16,1024,100,0.0018487160024233161,0.00020737600163556636,0.5282382468263983,4.709139400402602,0.4990625,0.4996875,0.03082880740655411,0.3687103694531874,{}
AES,CBC,16,4096,100,0.008210354006150737,0.0007788889994844794,0.47577120268792994,5.015156206578109,0.5004296875,0.4974609375,0.015755131932003667,0.35630163161361394,{}
AES,CBC,16,16384,100,0.03238949099904857,0.002830061996355653,0.4824095568670399,5.5210804640042275,0.4973046875,0.5005078125,0.012026826315718279,0.3029540751737834,{}
AES,CBC,24,64,100,0.00021512600011192262,8.480099844746292e-05,0.283718175479698,0.7197457266710525,0.5003515625,0.4965234375,0.038449197139207865,0.1346238468779239,{}
AES,CBC,24,256,100,0.0006120429979637266,0.00010629599797539413,0.3988945642908397,2.2967997822130117,0.4983984375,0.498671875,0.04218470927257724,0.5145260584722703,{}
AES,CBC,24,1024,100,0.0019054999970830977,0.0001977350004017353,0.5124967208055119,4.938743763197877,0.50171875,0.5005078125,0.03264358328723724,0.38826442022675584,{}
AES,CBC,24,4096,100,0.009943142005940899,0.0009917489974759519,0.39285871585320475,3.938748624845189,0.4986328125,0.5025,0.025333626931118236,0.39415514682277114,{}
AES,CBC,24,16384,100,0.058376799997640776,0.004973461999325082,0.26765769964491826,3.141674753344928,0.49984375,0.502109375,0.021541887275861794,0.3631982738775519,{}
AES,CBC,32,64,100,0.0005335529998410493,0.00010047900141216815,0.11439380205562141,0.6074419071864756,0.4928515625,0.500234375,0.02727663049103199,0.12210900938585009,{}
AES,CBC,32,256,100,0.0015622309991158545,0.00014982499997131526,0.15627690472034644,1.629505256444131,0.50125,0.5009765625,0.04313328735438125,0.33669212939327736,{}
AES,CBC,32,1024,100,0.0058899109927006065,0.0009017689991742372,0.16580259043137635,1.0829408650045103,0.5003125,0.497734375,0.01812664841375908,0.503544579571712,{}
AES,CBC,32,4096,100,0.019712041998282075,0.0011657620046753435,0.1981656695100606,3.350812588104433,0.498046875,0.504921875,0.019457093763630785,0.25963028368435925,{}
AES,CBC,32,16384,100,0.06863665400305763,0.0036495169973932207,0.2276480435556188,4.281388471723966,0.4998828125,0.50125,0.02013653630880585,0.27384608002000455,{}
AES,CTR,16,64,100,6.344999885186553e-05,9.780600550584494e-05,0.9619410142543363,0.6240430322691433,0.492265625,0.500859375,0.21388435947317594,0.25438680348827647,{}
AES,CTR,16,256,100,8.448499720543623e-05,9.863599552772939e-05,2.889751234841618,2.4751676474068245,0.5043359375,0.5012890625,0.2933167638009482,0.36698790734479986,{}
AES,CTR,16,1024,100,0.000355221003992483,0.00029560799710452555,2.74916879639433,3.303572669093564,0.4952734375,0.502109375,0.25444250185813966,0.5192885068143331,{}
AES,CTR,16,4096,100,0.0010469720023684203,0.0011708740040194242,3.7309975731570946,3.336183044965099,0.4948046875,0.500625,0.26199620158190445,0.2504477962896938,{}
AES,CTR,16,16384,100,0.005772837995318696,0.004792208991711959,2.706640999222672,3.260500538900361,0.5023828125,0.4949609375,0.23284146204307737,0.2243451288039843,{}
AES,CTR,24,64,100,4.1421999922022226e-05,5.821299855597317e-05,1.4734961219859,1.048479854397352,0.4971875,0.498046875,0.1558242575128247,0.2243842016974673,{}
AES,CTR,24,256,100,0.0001065700058825314,9.67960013076663e-05,2.2908943560452473,2.5222180844433697,0.496953125,0.5041796875,0.2191539089859833,0.27882504929584384,{}
AES,CTR,24,1024,100,0.00025838300003670154,0.00022540900157764555,3.779515292651939,4.332402402588205,0.5001171875,0.494609375,0.32711122853653185,0.3699408052084482,{}
AES,CTR,24,4096,100,0.0009230079920962453,0.0009312329965177924,4.23208686538944,4.1947074626939145,0.4953515625,0.499375,0.3038693093356831,0.3042679061774841,{}
AES,CTR,24,16384,100,0.0034477969992440195,0.0037451990018598736,4.531879343077917,4.172007947305495,0.5020703125,0.4992578125,0.1978203562396768,0.3117609453470267,{}
AES,CTR,32,64,100,5.779999657534063e-05,3.611399908550084e-05,1.055971623985175,1.690069164190254,0.5023046875,0.5016015625,0.10938802323830592,0.07147533146256166,{}
AES,CTR,32,256,100,0.00011860800208523869,0.00010846500052139163,2.058382408503485,2.2508700855245025,0.498828125,0.5022265625,0.4225665790349673,0.28995557402768574,{}
AES,CTR,32,1024,100,0.000237296000123024,0.000250614999094978,4.115376995371645,3.8966642201247605,0.500546875,0.5018359375,0.3702102348338331,0.3303609014425169,{}
AES,CTR,32,4096,100,0.0009674210008233786,0.00089106900151819,4.037797398108336,4.383779475376867,0.503828125,0.498671875,0.3086497657511452,0.3101405534247289,{}
AES,CTR,32,16384,100,0.003365178005769849,0.003630582996411249,4.64314219729529,4.303716514798028,0.49453125,0.5049609375,0.2039817406722845,0.282211821913734,{}
AES,GCM,16,64,100,0.00037663400173187255,0.00021828699856996537,0.16205429135272603,0.279609672815383,0.4951171875,0.504296875,0.15698793569662475,0.024132666997877222,{}
AES,GCM,16,256,100,0.00019137999857775866,0.00031704399967566135,1.27568516466889,0.7700528168006898,0.498984375,0.4960546875,0.1526874365561611,0.09617456998153003,{}
AES,GCM,16,1024,100,0.00018375799525529145,0.00023234500200487675,5.314394612562466,4.203070828179479,0.5001171875,0.5030859375,0.5997551834145927,0.6496945027010208,{}
AES,GCM,16,4096,100,0.00017790000420063733,0.00026251499773934485,21.957559908736673,14.880102217544824,0.5046875,0.5024609375,1.7756823913501834,1.4254180143715673,{}
AES,GCM,16,16384,100,0.0002235610003117472,0.0002389509999193251,69.89143892812942,65.38997537267193,0.496328125,0.4949609375,7.6942648264042575,7.372367271202559,{}
AES,GCM,24,64,100,0.00019168900558725,0.00020657599554397166,0.31840718283771874,0.29546102919304623,0.49734375,0.4994921875,0.032405770779817863,0.03080473123146025,{}
AES,GCM,24,256,100,0.00016480199876241385,0.00023231500177644192,1.4814178640634352,1.0509033989760934,0.5006640625,0.5016015625,0.15867489300485185,0.1358218979191159,{}
