source_csv,platform,algorithm,mode,key_size_bits,message_size_bytes,repetitions,throughput_encrypt_mbps,ci95_encrypt_mbps,ic95_relative_pct
raspberry_experience1_20260801.csv,arm,AES,ECB,128,64,100,1.1104567561196117,0.6231195649752508,56.11380736271842
raspberry_experience1_20260801.csv,arm,AES,ECB,128,256,100,5.764615330828446,0.39944813017281344,6.929311103147066
raspberry_experience1_20260801.csv,arm,AES,ECB,128,1024,100,19.20280144328835,1.108249550983059,5.771290997597686
raspberry_experience1_20260801.csv,arm,AES,ECB,128,4096,100,43.07269734082317,2.101634822764581,4.879273768565933
raspberry_experience1_20260801.csv,arm,AES,ECB,128,16384,100,63.4015214494432,3.020872212393999,4.764668328665997
raspberry_experience1_20260801.csv,arm,AES,ECB,192,64,100,1.5855243503279803,0.07984673927963734,5.035983159963473
raspberry_experience1_20260801.csv,arm,AES,ECB,192,256,100,6.068189659920465,0.14197343343738617,2.339634081892671
raspberry_experience1_20260801.csv,arm,AES,ECB,192,1024,100,19.044302421467247,0.4508506894936263,2.3673783345585573
raspberry_experience1_20260801.csv,arm,AES,ECB,192,4096,100,40.38126321463088,1.3688433490468466,3.3897982382851493
raspberry_experience1_20260801.csv,arm,AES,ECB,192,16384,100,61.882884078677286,2.152770349072689,3.4787815421396293
raspberry_experience1_20260801.csv,arm,AES,ECB,256,64,100,1.564450431595721,0.06751471718863498,4.315554895515019
raspberry_experience1_20260801.csv,arm,AES,ECB,256,256,100,5.858445146955204,0.1958758168900266,3.343477867874698
raspberry_experience1_20260801.csv,arm,AES,ECB,256,1024,100,17.869363457416213,0.8643757921042253,4.837194084523971
raspberry_experience1_20260801.csv,arm,AES,ECB,256,4096,100,37.3178102702621,1.429576617302534,3.830815921270006
raspberry_experience1_20260801.csv,arm,AES,ECB,256,16384,100,55.32562716699504,1.9926907817840263,3.6017500095738315
raspberry_experience1_20260801.csv,arm,AES,CBC,128,64,100,0.28574851148142594,0.005099230638464462,1.7845169558463017
raspberry_experience1_20260801.csv,arm,AES,CBC,128,256,100,0.35619360501292724,0.003747567202962552,1.0521152402010536
raspberry_experience1_20260801.csv,arm,AES,CBC,128,1024,100,0.3801405192044071,0.0016260500545707886,0.4277497326446376
raspberry_experience1_20260801.csv,arm,AES,CBC,128,4096,100,0.37853045128545393,0.0028263837576426474,0.7466727572496514
raspberry_experience1_20260801.csv,arm,AES,CBC,128,16384,100,0.38064173850165334,0.003097567019153587,0.8137749242494416
raspberry_experience1_20260801.csv,arm,AES,CBC,192,64,100,0.2814939227377539,0.007379532696083259,2.621560218533811
raspberry_experience1_20260801.csv,arm,AES,CBC,192,256,100,0.35643894115333413,0.0040470770144904675,1.1354194357651517
raspberry_experience1_20260801.csv,arm,AES,CBC,192,1024,100,0.38227337120996063,0.0019304589139236077,0.5049943467977838
raspberry_experience1_20260801.csv,arm,AES,CBC,192,4096,100,0.388721717404028,0.000914004493430186,0.2351308024501733
raspberry_experience1_20260801.csv,arm,AES,CBC,192,16384,100,0.39069067461404294,0.0006080988406599867,0.15564713472127734
raspberry_experience1_20260801.csv,arm,AES,CBC,256,64,100,0.2826187625564513,0.005223343837290282,1.8481942918587908
raspberry_experience1_20260801.csv,arm,AES,CBC,256,256,100,0.35602461921399003,0.0037371375602628055,1.0496851505700464
raspberry_experience1_20260801.csv,arm,AES,CBC,256,1024,100,0.3784506131430569,0.0012994915792248383,0.34337150848626624
raspberry_experience1_20260801.csv,arm,AES,CBC,256,4096,100,0.3875006516087574,0.0008496727841698235,0.21927002719667713
raspberry_experience1_20260801.csv,arm,AES,CBC,256,16384,100,0.3874818453037529,0.0005599841377668452,0.14451880637862274
raspberry_experience1_20260801.csv,arm,AES,CTR,128,64,100,0.9587974408121858,0.08076064213260525,8.423118241136928
raspberry_experience1_20260801.csv,arm,AES,CTR,128,256,100,2.272528731594948,0.09033531079755139,3.975100932349955
raspberry_experience1_20260801.csv,arm,AES,CTR,128,1024,100,3.6297821270361332,0.15480605168488382,4.264885501854883
raspberry_experience1_20260801.csv,arm,AES,CTR,128,4096,100,4.4532352273334,0.07289106858206147,1.6368115507275522
raspberry_experience1_20260801.csv,arm,AES,CTR,128,16384,100,4.599365477722551,0.041438585663586644,0.9009630972858809
raspberry_experience1_20260801.csv,arm,AES,CTR,192,64,100,0.9332866690281595,0.07313665986120768,7.836462502712655
raspberry_experience1_20260801.csv,arm,AES,CTR,192,256,100,2.3159114109274217,0.08455105717241186,3.6508761420434834
raspberry_experience1_20260801.csv,arm,AES,CTR,192,1024,100,3.552599000978469,0.12977657849200205,3.65300385594486
raspberry_experience1_20260801.csv,arm,AES,CTR,192,4096,100,4.345275278843505,0.10369520505638766,2.3863897774500984
raspberry_experience1_20260801.csv,arm,AES,CTR,192,16384,100,4.541446208882925,0.038259993431269575,0.8424627678388932
raspberry_experience1_20260801.csv,arm,AES,CTR,256,64,100,1.0096265580975352,0.03472006427834294,3.4389016413917277
raspberry_experience1_20260801.csv,arm,AES,CTR,256,256,100,2.327179217907003,0.07766704237115343,3.3373898225597296
raspberry_experience1_20260801.csv,arm,AES,CTR,256,1024,100,3.306748528305971,0.1418806393593322,4.2906389205234445
raspberry_experience1_20260801.csv,arm,AES,CTR,256,4096,100,4.249345097727135,0.1344782104400118,3.164680847219039
raspberry_experience1_20260801.csv,arm,AES,CTR,256,16384,100,4.4517157986845675,0.04167945263039498,0.9362559182846039
raspberry_experience1_20260801.csv,arm,AES,GCM,128,64,100,0.20440867286025885,0.10835567976813698,53.00933578401188
raspberry_experience1_20260801.csv,arm,AES,GCM,128,256,100,1.0693037253917805,0.060364954889974176,5.645258073692501
raspberry_experience1_20260801.csv,arm,AES,GCM,128,1024,100,4.03878866596148,0.17371818245393744,4.301244675613197
raspberry_experience1_20260801.csv,arm,AES,GCM,128,4096,100,11.608323615968073,0.4119502283428317,3.5487486563190305
raspberry_experience1_20260801.csv,arm,AES,GCM,128,16384,100,21.053211956122876,0.46532542543914673,2.210234839267919
raspberry_experience1_20260801.csv,arm,AES,GCM,192,64,100,0.28746301457646356,0.016693849386859628,5.807303388735304
raspberry_experience1_20260801.csv,arm,AES,GCM,192,256,100,1.083312936787794,0.05168310666483197,4.770838130861901
raspberry_experience1_20260801.csv,arm,AES,GCM,192,1024,100,3.396548923644635,0.22477778959521083,6.617828703436285
raspberry_experience1_20260801.csv,arm,AES,GCM,192,4096,100,11.179961707904418,0.49508643223706583,4.428337459215371
raspberry_experience1_20260801.csv,arm,AES,GCM,192,16384,100,19.714758670309802,0.6050177676142707,3.068857081803494
raspberry_experience1_20260801.csv,arm,AES,GCM,256,64,100,0.2935325061809183,0.01215295736716385,4.140242430142777
raspberry_experience1_20260801.csv,arm,AES,GCM,256,256,100,1.1381381452382273,0.04227420298813646,3.714329685285077
raspberry_experience1_20260801.csv,arm,AES,GCM,256,1024,100,3.9199936545832057,0.17962909828369425,4.582382373850892
raspberry_experience1_20260801.csv,arm,AES,GCM,256,4096,100,11.056566796931707,0.4258979664690676,3.851991077259697
raspberry_experience1_20260801.csv,arm,AES,GCM,256,16384,100,18.907227588704437,0.6073231802523458,3.2121218058176493
raspberry_experience1_20260801.csv,arm,DES,ECB,64,64,100,1.0829566683292928,0.10438779703804887,9.639148092517019
raspberry_experience1_20260801.csv,arm,DES,ECB,64,256,100,4.124799010468614,0.2571218920044319,6.233561716628238
raspberry_experience1_20260801.csv,arm,DES,ECB,64,1024,100,11.941015282731614,0.582671906617366,4.879584296822662
raspberry_experience1_20260801.csv,arm,DES,ECB,64,4096,100,22.96674151247367,0.7482593198191783,3.258012545718706
raspberry_experience1_20260801.csv,arm,DES,ECB,64,16384,100,29.0923328083486,1.1315692879174704,3.88957907010037
raspberry_experience1_20260801.csv,arm,DES,CBC,64,64,100,0.1310604907409416,0.0019153186157981293,1.4614004609398343
raspberry_experience1_20260801.csv,arm,DES,CBC,64,256,100,0.14890714790300918,0.0015632408361738587,1.0498091315213942
raspberry_experience1_20260801.csv,arm,DES,CBC,64,1024,100,0.1525626224408066,0.0006204542893401589,0.4066882696519533
raspberry_experience1_20260801.csv,arm,DES,CBC,64,4096,100,0.15578480345838217,0.0004122540986955975,0.2646304963922434
raspberry_experience1_20260801.csv,arm,DES,CBC,64,16384,100,0.15920458708966181,0.0003280407377440046,0.20604980279824264
raspberry_experience1_20260801.csv,arm,DES,CTR,64,64,100,0.7805825705469831,0.03654913642166024,4.682289587384574
raspberry_experience1_20260801.csv,arm,DES,CTR,64,256,100,1.847867370215121,0.05178448284926986,2.8023917562460845
raspberry_experience1_20260801.csv,arm,DES,CTR,64,1024,100,2.8887013629009144,0.11934711615748617,4.1315145168773855
raspberry_experience1_20260801.csv,arm,DES,CTR,64,4096,100,3.434101316607156,0.07561272348020528,2.2018198215220277
raspberry_experience1_20260801.csv,arm,DES,CTR,64,16384,100,3.7346276689972346,0.02144196175459517,0.5741392089121549
raspberry_experience1_20260801.csv,arm,3DES,ECB,128,64,100,0.44667834377404436,0.012989056705875066,2.9079217488201485
raspberry_experience1_20260801.csv,arm,3DES,ECB,128,256,100,1.583111965780397,0.04915492068912118,3.1049554138699347
raspberry_experience1_20260801.csv,arm,3DES,ECB,128,1024,100,3.6642886648784554,0.3366178076352333,9.186443493430366
raspberry_experience1_20260801.csv,arm,3DES,ECB,128,4096,100,8.517713901241033,0.3141540058073794,3.6882432240604737
raspberry_experience1_20260801.csv,arm,3DES,ECB,128,16384,100,10.865948198320481,0.21989781181788276,2.0237332978623233
raspberry_experience1_20260801.csv,arm,3DES,ECB,192,64,100,0.3017366323733713,0.012829879095479427,4.2520124237363515
raspberry_experience1_20260801.csv,arm,3DES,ECB,192,256,100,1.0106301971338885,0.05435312046101156,5.378141343406826
raspberry_experience1_20260801.csv,arm,3DES,ECB,192,1024,100,3.2251595221010847,0.20155825971071173,6.249559388597411
raspberry_experience1_20260801.csv,arm,3DES,ECB,192,4096,100,7.495685411427656,0.2917290027085061,3.891958996354708
raspberry_experience1_20260801.csv,arm,3DES,ECB,192,16384,100,11.362420212855852,0.20842956939853016,1.834376528010339
raspberry_experience1_20260801.csv,arm,3DES,CBC,128,64,100,0.41943818892129225,0.00946141215687128,2.255734553213684
raspberry_experience1_20260801.csv,arm,3DES,CBC,128,256,100,0.4997035026515449,0.00836296151157903,1.6735847291850423
raspberry_experience1_20260801.csv,arm,3DES,CBC,128,1024,100,0.513951357449567,0.0060044999715657505,1.1683012184971142
raspberry_experience1_20260801.csv,arm,3DES,CBC,128,4096,100,0.5376003802787711,0.002215401242850037,0.41209071349637943
raspberry_experience1_20260801.csv,arm,3DES,CBC,128,16384,100,0.5283814894091275,0.0028235582656948137,0.5343787248967238
raspberry_experience1_20260801.csv,arm,3DES,CBC,192,64,100,0.4247690361188687,0.009068862417801055,2.1350102400739015
raspberry_experience1_20260801.csv,arm,3DES,CBC,192,256,100,0.5042058141648659,0.007456942305214262,1.4789480993124726
raspberry_experience1_20260801.csv,arm,3DES,CBC,192,1024,100,0.512687930689755,0.005362436766519854,1.0459455831748157
raspberry_experience1_20260801.csv,arm,3DES,CBC,192,4096,100,0.4929522616725008,0.0135287319942478,2.7444304542486897
raspberry_experience1_20260801.csv,arm,3DES,CBC,192,16384,100,0.534976244409808,0.002672136714580186,0.4994869851703637
raspberry_experience1_20260801.csv,arm,3DES,CTR,128,64,100,0.36693592213857973,0.01704442621547662,4.645068849116249
raspberry_experience1_20260801.csv,arm,3DES,CTR,128,256,100,1.026878477413562,0.05473352779941894,5.330088126618289
raspberry_experience1_20260801.csv,arm,3DES,CTR,128,1024,100,2.045177498427504,0.08150614743638566,3.9852847735247483
raspberry_experience1_20260801.csv,arm,3DES,CTR,128,4096,100,2.842214876780863,0.045751618589024615,1.6097170894004895
raspberry_experience1_20260801.csv,arm,3DES,CTR,128,16384,100,3.0739928009423405,0.02105268527817327,0.684864495184228
raspberry_experience1_20260801.csv,arm,3DES,CTR,192,64,100,0.32070773711611505,0.010479674826733783,3.267671344935319
raspberry_experience1_20260801.csv,arm,3DES,CTR,192,256,100,0.9269983105378514,0.04233223681419375,4.566592660738753
raspberry_experience1_20260801.csv,arm,3DES,CTR,192,1024,100,1.9618661732147207,0.07493315167201,3.8194833416809613
raspberry_experience1_20260801.csv,arm,3DES,CTR,192,4096,100,2.8068940868468992,0.040872764427691596,1.4561562767623224
raspberry_experience1_20260801.csv,arm,3DES,CTR,192,16384,100,2.9036294941257537,0.06574536612599768,2.2642477719352687
raspberry_experience1_20260801.csv,arm,ChaCha20,Stream,256,64,100,2.175243460915105,0.26972972853648375,12.399978824577683
raspberry_experience1_20260801.csv,arm,ChaCha20,Stream,256,256,100,8.394356500582427,0.3591298114262347,4.278229205553958
raspberry_experience1_20260801.csv,arm,ChaCha20,Stream,256,1024,100,27.483084838338474,0.762786270138968,2.7754754410789184
raspberry_experience1_20260801.csv,arm,ChaCha20,Stream,256,4096,100,65.13770173159122,1.8771724550829905,2.8818524528515534
raspberry_experience1_20260801.csv,arm,ChaCha20,Stream,256,16384,100,87.47600568126342,2.6012827329001933,2.973710004979531
raspberry_experience2_20260801.csv,arm,AES,ECB,128,64,100,1.1774093136369952,0.5590403801929464,47.480546800337535
raspberry_experience2_20260801.csv,arm,AES,ECB,128,256,100,5.910928701030808,0.3866993572898472,6.5421083022437845
raspberry_experience2_20260801.csv,arm,AES,ECB,128,1024,100,19.286748036626083,1.2254473776232666,6.353831010267294
raspberry_experience2_20260801.csv,arm,AES,ECB,128,4096,100,42.93976308262336,2.151372550161635,5.0102105734072895
raspberry_experience2_20260801.csv,arm,AES,ECB,128,16384,100,27.641429119130663,0.541637712436823,1.9595141412639732
raspberry_experience2_20260801.csv,arm,AES,ECB,192,64,100,1.6177865749196887,0.05524751755051042,3.4150065532131797
raspberry_experience2_20260801.csv,arm,AES,ECB,192,256,100,6.2094788288856595,0.13906809111050417,2.2396097151274295
raspberry_experience2_20260801.csv,arm,AES,ECB,192,1024,100,19.017351711868507,0.5000505926198238,2.629443889959442
raspberry_experience2_20260801.csv,arm,AES,ECB,192,4096,100,41.433991054146375,1.3365263582516242,3.225676127856082
raspberry_experience2_20260801.csv,arm,AES,ECB,192,16384,100,62.22066901803169,2.2638452663175217,3.6384135722832776
raspberry_experience2_20260801.csv,arm,AES,ECB,256,64,100,1.607822801518453,0.065547709412003,4.076799343192466
raspberry_experience2_20260801.csv,arm,AES,ECB,256,256,100,5.935538404772991,0.18786497115602596,3.1650872818033937
raspberry_experience2_20260801.csv,arm,AES,ECB,256,1024,100,18.393456530749408,0.3980240220788317,2.1639435818571235
raspberry_experience2_20260801.csv,arm,AES,ECB,256,4096,100,37.83115272610233,1.3027882692277957,3.4436917073608275
raspberry_experience2_20260801.csv,arm,AES,ECB,256,16384,100,55.95780312560869,2.0525669080242457,3.668061992027888
raspberry_experience2_20260801.csv,arm,AES,CBC,128,64,100,0.28029317507019674,0.005746502876128796,2.0501758113409787
raspberry_experience2_20260801.csv,arm,AES,CBC,128,256,100,0.36197463254373263,0.0038007537751420907,1.0500055621115647
raspberry_experience2_20260801.csv,arm,AES,CBC,128,1024,100,0.38559054171789064,0.0015821150134903796,0.4103096010710505
raspberry_experience2_20260801.csv,arm,AES,CBC,128,4096,100,0.39271427963153455,0.0006401338125771748,0.16300242842653506
raspberry_experience2_20260801.csv,arm,AES,CBC,128,16384,100,0.39467325683694404,0.0003063628774416821,0.07762443290355835
raspberry_experience2_20260801.csv,arm,AES,CBC,192,64,100,0.28758240969846216,0.0054325789003738184,1.889051178780379
raspberry_experience2_20260801.csv,arm,AES,CBC,192,256,100,0.3602090567520251,0.005975465625259626,1.658888224282837
raspberry_experience2_20260801.csv,arm,AES,CBC,192,1024,100,0.38577277320550296,0.0015590849790780943,0.40414593443782576
raspberry_experience2_20260801.csv,arm,AES,CBC,192,4096,100,0.3914066849443612,0.0006462535184719512,0.16511049589350185
raspberry_experience2_20260801.csv,arm,AES,CBC,192,16384,100,0.3948157720119546,0.0003521220023189706,0.08918640725130625
raspberry_experience2_20260801.csv,arm,AES,CBC,256,64,100,0.2861010790002246,0.004932839174995193,1.7241595845191904
raspberry_experience2_20260801.csv,arm,AES,CBC,256,256,100,0.35792615501335995,0.003477668601990818,0.9716162267775627
raspberry_experience2_20260801.csv,arm,AES,CBC,256,1024,100,0.38063424628630643,0.0017845778613904129,0.46884322122925437
raspberry_experience2_20260801.csv,arm,AES,CBC,256,4096,100,0.3888872259308536,0.0006683548482893242,0.17186341019289783
raspberry_experience2_20260801.csv,arm,AES,CBC,256,16384,100,0.3895949185351474,0.0014284410566729644,0.3666477637962563
raspberry_experience2_20260801.csv,arm,AES,CTR,128,64,100,0.9774318670832358,0.07979468203691044,8.163707847486757
raspberry_experience2_20260801.csv,arm,AES,CTR,128,256,100,2.2956270457888537,0.13320182320037294,5.802415660014162
raspberry_experience2_20260801.csv,arm,AES,CTR,128,1024,100,3.366520887698534,0.15846831462319277,4.707183466535001
raspberry_experience2_20260801.csv,arm,AES,CTR,128,4096,100,4.091905737480035,0.0704607924076833,1.7219554146199851
raspberry_experience2_20260801.csv,arm,AES,CTR,128,16384,100,4.602196407285656,0.030575142149264323,0.664359784837982
raspberry_experience2_20260801.csv,arm,AES,CTR,192,64,100,1.023505883953648,0.0330381867714269,3.227943023034259
raspberry_experience2_20260801.csv,arm,AES,CTR,192,256,100,2.3655501533797905,0.06569513403521822,2.777160904466811
raspberry_experience2_20260801.csv,arm,AES,CTR,192,1024,100,3.4628251305845286,0.14945669979102044,4.316033705282484
raspberry_experience2_20260801.csv,arm,AES,CTR,192,4096,100,4.318281268703627,0.09349716527805495,2.1651476469508277
raspberry_experience2_20260801.csv,arm,AES,CTR,192,16384,100,4.584722066427688,0.02597000868171795,0.5664467399646145
raspberry_experience2_20260801.csv,arm,AES,CTR,256,64,100,1.010838831885676,0.030311782599193583,2.998676113643979
raspberry_experience2_20260801.csv,arm,AES,CTR,256,256,100,2.449570914747907,0.03143792362314594,1.2834053275971933
raspberry_experience2_20260801.csv,arm,AES,CTR,256,1024,100,3.666447056922,0.11143943056225598,3.0394392400093713
raspberry_experience2_20260801.csv,arm,AES,CTR,256,4096,100,4.296279058848267,0.15120242777330467,3.519380973680014
raspberry_experience2_20260801.csv,arm,AES,CTR,256,16384,100,4.55478556860613,0.02489192890607925,0.5465005658586197
raspberry_experience2_20260801.csv,arm,AES,GCM,128,64,100,0.20491926600361732,0.10739351298262975,52.40771894075299
raspberry_experience2_20260801.csv,arm,AES,GCM,128,256,100,1.0761302457398478,0.05581681934964646,5.186808898886767
raspberry_experience2_20260801.csv,arm,AES,GCM,128,1024,100,4.087919257567393,0.14609706623021865,3.573873577854299
raspberry_experience2_20260801.csv,arm,AES,GCM,128,4096,100,11.321806775095222,0.4517489155964392,3.9900779493089322
raspberry_experience2_20260801.csv,arm,AES,GCM,128,16384,100,20.74363894481087,0.5260143484071479,2.5357862707050884
raspberry_experience2_20260801.csv,arm,AES,GCM,192,64,100,0.29841447029820456,0.011330464489507282,3.796888427757805
raspberry_experience2_20260801.csv,arm,AES,GCM,192,256,100,1.1493969518672527,0.04427521059786789,3.852038281982617
raspberry_experience2_20260801.csv,arm,AES,GCM,192,1024,100,4.080346639804855,0.14021283798142115,3.436297215869064
raspberry_experience2_20260801.csv,arm,AES,GCM,192,4096,100,11.191631327177822,0.3818071965708535,3.4115419406612397
raspberry_experience2_20260801.csv,arm,AES,GCM,192,16384,100,20.507746067545124,0.46204418859274854,2.2530227703763326
raspberry_experience2_20260801.csv,arm,AES,GCM,256,64,100,0.28929915911822773,0.01364196272028656,4.715521041217928
raspberry_experience2_20260801.csv,arm,AES,GCM,256,256,100,1.1522025517438053,0.04304158821332502,3.735592162001687
raspberry_experience2_20260801.csv,arm,AES,GCM,256,1024,100,4.014400354300958,0.15632266017484073,3.894047588137526
raspberry_experience2_20260801.csv,arm,AES,GCM,256,4096,100,10.727456235437094,0.37613271653989494,3.506261953298654
raspberry_experience2_20260801.csv,arm,AES,GCM,256,16384,100,19.79552997555911,0.41822339759259536,2.112716346109258
raspberry_experience2_20260801.csv,arm,DES,ECB,64,64,100,1.068183411129101,0.10023895552168652,9.384058437654543
raspberry_experience2_20260801.csv,arm,DES,ECB,64,256,100,4.070683467097695,0.2902234231524988,7.129599378047971
raspberry_experience2_20260801.csv,arm,DES,ECB,64,1024,100,11.949978255160135,0.562797214905555,4.709608694580954
raspberry_experience2_20260801.csv,arm,DES,ECB,64,4096,100,22.781708915641154,0.8628085306758029,3.7872862561395806
raspberry_experience2_20260801.csv,arm,DES,ECB,64,16384,100,32.29607904300458,0.7374598242944919,2.2834345411172374
raspberry_experience2_20260801.csv,arm,DES,CBC,64,64,100,0.12970236268400537,0.002243726682617954,1.7299042486098413
raspberry_experience2_20260801.csv,arm,DES,CBC,64,256,100,0.1511756792378322,0.001121405451358483,0.7417895901061363
raspberry_experience2_20260801.csv,arm,DES,CBC,64,1024,100,0.15540081312698517,0.0005111086940239715,0.3288970525568106
raspberry_experience2_20260801.csv,arm,DES,CBC,64,4096,100,0.1590610495352503,0.0003595888168252596,0.2260696870012601
raspberry_experience2_20260801.csv,arm,DES,CBC,64,16384,100,0.16232486690505507,0.00020324970382489758,0.1252116867243635
raspberry_experience2_20260801.csv,arm,DES,CTR,64,64,100,0.8227770449474439,0.030058419415235287,3.6532885305709173
raspberry_experience2_20260801.csv,arm,DES,CTR,64,256,100,1.943709825068826,0.04676487109140403,2.405959494995509
raspberry_experience2_20260801.csv,arm,DES,CTR,64,1024,100,3.1141672818441553,0.09425594961833685,3.026682290571113
raspberry_experience2_20260801.csv,arm,DES,CTR,64,4096,100,3.6911294965043058,0.05513015688035218,1.4935850105655557
raspberry_experience2_20260801.csv,arm,DES,CTR,64,16384,100,3.8149717461351047,0.02381052513141165,0.6241337214498054
raspberry_experience2_20260801.csv,arm,3DES,ECB,128,64,100,0.46631440926639306,0.011846808105006722,2.5405194155685966
raspberry_experience2_20260801.csv,arm,3DES,ECB,128,256,100,1.652990127868859,0.04347419977622788,2.630033842505618
raspberry_experience2_20260801.csv,arm,3DES,ECB,128,1024,100,4.60571930054721,0.13475190459205907,2.925751566667319
raspberry_experience2_20260801.csv,arm,3DES,ECB,128,4096,100,8.785018009545128,0.28509369098754006,3.2452260277415377
raspberry_experience2_20260801.csv,arm,3DES,ECB,128,16384,100,11.873787197141448,0.16682123424333806,1.4049538826457948
raspberry_experience2_20260801.csv,arm,3DES,ECB,192,64,100,0.3882240732412501,0.013779188205366494,3.5492874231948606
raspberry_experience2_20260801.csv,arm,3DES,ECB,192,256,100,1.392486608898051,0.056311793190429726,4.0439737682642605
raspberry_experience2_20260801.csv,arm,3DES,ECB,192,1024,100,4.047514405141505,0.14594874809701824,3.6058858224598644
raspberry_experience2_20260801.csv,arm,3DES,ECB,192,4096,100,8.498783387696573,0.2548979626441493,2.99922884272068
raspberry_experience2_20260801.csv,arm,3DES,ECB,192,16384,100,11.269519240069705,0.19090359848937113,1.6939817433435638
