context,platform,algorithm,mode,key_size_bits,message_size_bytes,metric,raw_count,raw_mean,aggregated_value,abs_diff,rel_diff_pct,source_csvs
performance,x86,3DES,CBC,128,16384,key_avalanche_score,4,0.43814453124999997,0.43814453124999997,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,128,16384,throughput_dec_mbps,4,4.468591249997507,4.468591249997507,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,128,16384,throughput_enc_mbps,4,0.8819113745581897,0.8819113745581897,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,192,64,avalanche_score,4,0.50173828125,0.50173828125,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,192,64,avg_decrypt_time_s,4,0.00011886224840509386,0.00011886224840509386,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,192,64,avg_encrypt_time_s,4,8.653399826471287e-05,8.653399826471287e-05,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,192,64,key_avalanche_score,4,0.41728515625,0.41728515625,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,192,64,throughput_dec_mbps,4,0.53399595125762,0.53399595125762,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,192,64,throughput_enc_mbps,4,0.7258548401084404,0.7258548401084404,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,192,256,avalanche_score,4,0.4983984375,0.4983984375,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
