context,platform,algorithm,mode,key_size_bits,message_size_bytes,throughput_enc_mbps,throughput_dec_mbps,avalanche_score,key_avalanche_score,ci95_enc_mbps,source_csvs
performance,x86,3DES,ECB,192,4096,8.806012107951577,9.540030083861925,0.502109375,0.42892578124999997,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,ECB,192,16384,12.194833256994018,12.589859658548745,0.49878906249999994,0.44537109375,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,AES,CBC,128,64,0.4218206368215101,1.4205289456972705,0.501103515625,0.499052734375,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,AES,CBC,128,256,0.5895165348589659,4.364111318781857,0.49814453125,0.49956054687499996,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,AES,CBC,128,1024,0.6304180861828033,6.031657217283721,0.50068359375,0.49905273437500003,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,AES,CBC,128,4096,0.630843241425796,7.1228902168502,0.5001171875,0.49716796875,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,AES,CBC,128,16384,0.640235185651059,7.526027182408507,0.49962890625,0.498779296875,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,AES,CBC,192,64,0.4428946158221019,1.4086186188311363,0.500224609375,0.49701171875,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,AES,CBC,192,256,0.5618182724490441,3.9733623952871184,0.4975,0.498681640625,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,AES,CBC,192,1024,0.6296498408711831,6.086152411243511,0.49978515625000003,0.49990234375,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
