algorithm,mode,key_size_bytes,message_size_bytes,repetitions,avg_encrypt_time_s,avg_decrypt_time_s,throughput_encrypt_mbps,throughput_decrypt_mbps,avalanche_score,key_avalanche_score,ci95_encrypt_mbps,ci95_decrypt_mbps,extra
AES,ECB,16,64,100,4.25199989695102e-05,1.7552998615428804e-05,1.4354458544029236,3.4771925633464744,0.5025390625,0.5021875,1.5602816414940772,0.12127219446394008,{}
AES,ECB,16,256,100,2.4825000436976553e-05,1.7479000380262733e-05,9.834466090737921,13.967653738121278,0.493046875,0.5011328125,1.9163312438691775,0.22882413576062452,{}
AES,ECB,16,1024,100,2.2831999231129885e-05,2.2193000186234714e-05,42.77165963935927,44.00317630807376,0.499921875,0.5021484375,7.096289527741402,2.8258772563144974,{}
AES,ECB,16,4096,100,2.3463000543415548e-05,2.380999852903187e-05,166.48552655368778,164.05922895110865,0.5005859375,0.4982421875,17.399396008950816,11.705328063240483,{}
AES,ECB,16,16384,100,0.0001432689977809787,4.213799955323338e-05,109.06058004179377,370.8054526950377,0.50015625,0.5030859375,113.18116303499133,3.910755645796102,{}
AES,ECB,24,64,100,1.8917002016678452e-05,2.2922001080587505e-05,3.226470885618528,2.6627324567090382,0.4991796875,0.500859375,0.16126219547158835,0.6927747903644498,{}
AES,ECB,24,256,100,2.0475001074373724e-05,1.8392001511529088e-05,11.9238394231668,13.274282565003032,0.5001171875,0.5,0.9204715085145928,0.5909023234423919,{}
AES,ECB,24,1024,100,2.1230002166703342e-05,3.163600224070251e-05,45.99917100016215,30.868707511455607,0.499375,0.4978125,2.369181095615908,4.559416341407569,{}
AES,ECB,24,4096,100,2.5886002695187927e-05,3.748199669644237e-05,150.9020162748477,104.21669986355782,0.497109375,0.5028515625,14.35318444626167,15.029049899222079,{}
AES,ECB,24,16384,100,4.501800169236958e-05,2.8216001810505985e-05,347.08337581870927,553.7637864122254,0.4984375,0.4955859375,25.87881212280079,5.4981793759995226,{}
AES,ECB,32,64,100,2.091299626044929e-05,1.9809999503195286e-05,2.9185275744265224,3.081027651724839,0.5005078125,0.4994140625,0.22893995724673705,0.45624797356960733,{}
