algorithm,mode,key_size_bytes,message_size_bytes,repetitions,avg_encrypt_time_s,avg_decrypt_time_s,throughput_encrypt_mbps,throughput_decrypt_mbps,avalanche_score,key_avalanche_score,ci95_encrypt_mbps,ci95_decrypt_mbps,extra
AES,ECB,16,64,100,4.507099860347807e-05,2.410700311884284e-05,1.3542002205668902,2.5318433796647617,0.4969921875,0.4995703125,1.4434827880089325,0.34056613624011906,{}
AES,ECB,16,256,100,1.9872001139447093e-05,2.171100117266178e-05,12.28565876616052,11.245019198258753,0.5012109375,0.4998828125,1.3929267616101344,2.088178544067586,{}
AES,ECB,16,1024,100,2.166799968108535e-05,2.2312001092359424e-05,45.06934254999417,43.768485666416375,0.495078125,0.498828125,4.807619835414299,8.64962424889497,{}
AES,ECB,16,4096,100,2.8887001099064948e-05,2.656700205989182e-05,135.2251826558224,147.03390285414486,0.4981640625,0.4978125,20.75180503515448,8.54521456716001,{}
AES,ECB,16,16384,100,5.041199619881809e-05,3.3559001749381424e-05,309.9460679632109,465.5978779311577,0.4926953125,0.5012109375,43.0624509029964,67.17614426933243,{}
AES,ECB,24,64,100,2.331900177523494e-05,1.844500075094402e-05,2.6174000430335775,3.30903517295201,0.501171875,0.4987109375,0.36117364129192076,0.14521880609594137,{}
AES,ECB,24,256,100,2.9526998987421392e-05,1.9276001257821917e-05,8.26838599831987,12.66552236299172,0.4977734375,0.5067578125,1.2404947037836165,0.5878191408462593,{}
AES,ECB,24,1024,100,3.309999709017575e-05,3.583000157959759e-05,29.5034013851877,27.255441165151293,0.4980078125,0.4989453125,6.251599689668296,2.6401564860421933,{}
AES,ECB,24,4096,100,5.167200230062008e-05,2.5582999223843218e-05,75.5970317789122,152.68929048629278,0.50328125,0.4995703125,24.49255487499267,29.89636605343884,{}
AES,ECB,24,16384,100,4.8677995800971984e-05,2.902999985963106e-05,320.98692115191824,538.2363098708805,0.4984375,0.5003125,23.24198927937251,8.945868557684891,{}
AES,ECB,32,64,100,2.296699909493327e-05,2.53550021443516e-05,2.657515507259497,2.4072234702451785,0.4972265625,0.498828125,0.37037564060282885,0.35989546119575666,{}
AES,ECB,32,256,100,2.685800311155617e-05,1.974600018002093e-05,9.090051259058564,12.364054632543876,0.49984375,0.5023828125,0.8783939556014049,0.7016815825788049,{}
AES,ECB,32,1024,100,4.497000249102712e-05,3.645099815912545e-05,21.715864930068747,26.791104477766385,0.49953125,0.5057421875,5.326128611560442,2.9131274141715005,{}
AES,ECB,32,4096,100,3.209499991498888e-05,2.6042998069897293e-05,121.70898926146184,149.99233150944994,0.5019140625,0.499453125,17.494667899569148,9.158365011133942,{}
AES,ECB,32,16384,100,6.088599795475602e-05,4.001300083473325e-05,256.6271478642895,390.49807997496487,0.5013671875,0.497578125,22.45239719348185,50.662550184925365,{}
AES,CBC,16,64,100,0.0001329559984151274,3.791600000113249e-05,0.4590628251267795,1.6097467097841802,0.4962890625,0.4982421875,0.03318661969915464,0.24201066504110008,{}
