algorithm,mode,key_size_bytes,message_size_bytes,repetitions,avg_encrypt_time_s,avg_decrypt_time_s,throughput_encrypt_mbps,throughput_decrypt_mbps,avalanche_score,key_avalanche_score,ci95_encrypt_mbps,ci95_decrypt_mbps,extra
AES,ECB,16,64,100,0.0005042299989145249,1.780600054189563e-05,0.12104626139141404,3.427785824581481,0.495234375,0.49921875,0.22663619492094522,0.15973125188284448,{}
AES,ECB,16,256,100,1.982199726626277e-05,1.8063001334667206e-05,12.316651128568648,13.516060840422789,0.494921875,0.5065625,1.2842113672025963,0.3671230632144704,{}
AES,ECB,16,1024,100,2.780799986794591e-05,2.047699992544949e-05,35.118041737538874,47.69070193658085,0.504765625,0.4985546875,5.7538790757297225,1.7245502471058862,{}
AES,ECB,16,4096,100,2.496899920515716e-05,2.397900098003447e-05,156.4439955283908,162.90295009589616,0.5000390625,0.5014453125,16.610971922840086,19.333330005977672,{}
AES,ECB,16,16384,100,4.414700204506516e-05,3.332699881866574e-05,353.9311680564409,468.8390960439189,0.5001171875,0.4961328125,28.885075664102295,26.74171793888089,{}
AES,ECB,24,64,100,2.57609982509166e-05,1.88470003195107e-05,2.369285369126886,3.238454672641751,0.4993359375,0.499375,0.36605561352734245,0.17590620873356771,{}
AES,ECB,24,256,100,1.9290000200271606e-05,2.123699989169836e-05,12.656330869118522,11.49600349602279,0.4950390625,0.5032421875,0.6266841098825229,1.938906055563623,{}
AES,ECB,24,1024,100,2.381299971602857e-05,2.1190999541431664e-05,41.00963808195379,46.08383375643372,0.5060546875,0.503359375,5.512384955634894,3.076940001379505,{}
AES,ECB,24,4096,100,2.941599814221263e-05,2.143000019714236e-05,132.79338614025957,182.27951302216456,0.4968359375,0.4973046875,17.2667287123653,5.345655355914516,{}
AES,ECB,24,16384,100,4.1862002108246086e-05,2.999800257384777e-05,373.2501842505556,520.8680131797129,0.4994140625,0.501328125,26.44357372324121,25.27436927499424,{}
AES,ECB,32,64,100,1.970399753190577e-05,1.7281000036746264e-05,3.09760271493988,3.5319226966156494,0.500859375,0.4966796875,0.21537428719628768,0.029452180370447112,{}
AES,ECB,32,256,100,2.0391000434756277e-05,1.7658000579103828e-05,11.97295962898733,13.826062804013711,0.5008203125,0.4962109375,1.048280886122943,0.10019992210995368,{}
AES,ECB,32,1024,100,3.181500011123717e-05,2.258100430481136e-05,30.695033681771847,43.24708001547667,0.499375,0.5026171875,4.5873046738591094,3.8599732933362896,{}
AES,ECB,32,4096,100,2.392499940469861e-05,3.020899835973978e-05,163.2706414710654,129.30749816604143,0.501796875,0.49515625,8.934163318232129,20.980156277295993,{}
AES,ECB,32,16384,100,5.0215998198837043e-05,3.6900996929034593e-05,311.15581807476366,423.43029458117087,0.4987890625,0.5009375,30.866687145685184,62.45712783221266,{}
