algorithm,mode,key_size_bytes,message_size_bytes,repetitions,avg_encrypt_time_s,avg_decrypt_time_s,throughput_encrypt_mbps,throughput_decrypt_mbps,avalanche_score,key_avalanche_score,ci95_encrypt_mbps,ci95_decrypt_mbps,extra
AES,ECB,16,64,100,6.692299852147699e-05,0.0003286909963935614,0.9120206445981727,0.1856915976393797,0.4961328125,0.49875,0.8780425157099817,0.3214601114284986,{}
AES,ECB,16,256,100,5.1609999500215056e-05,3.655699896626174e-05,4.730490745286341,6.6783552234502634,0.5032421875,0.499609375,3.0291860195657248,3.7414238494492187,{}
AES,ECB,16,1024,100,3.145899623632431e-05,2.0249998196959496e-05,31.042392219507835,48.22531293591074,0.501171875,0.4972265625,3.8182461895368602,0.7821474064513148,{}
AES,ECB,16,4096,100,3.248400404118001e-05,2.900500316172838e-05,120.25149347500518,134.67504134439233,0.4928515625,0.4953515625,18.749999446857835,18.86891125359406,{}
AES,ECB,16,16384,100,6.0025997227057816e-05,3.136200015433133e-05,260.30388034864245,498.21439714016674,0.5003515625,0.500625,22.38923338072951,70.76885282460914,{}
AES,ECB,24,64,100,3.334499895572662e-05,2.0274001872166992e-05,1.8304140999086134,3.010513495798363,0.500859375,0.497734375,0.12076345539077678,0.40092311439056944,{}
AES,ECB,24,256,100,3.881499986164272e-05,1.9048001850023865e-05,6.289852527895063,12.81712522511615,0.4975,0.505859375,1.127398310975961,0.5732177260943748,{}
AES,ECB,24,1024,100,2.8388998471200468e-05,2.421000157482922e-05,34.39932905666554,40.33715144468712,0.503359375,0.498984375,5.190057516377597,5.326712898831885,{}
AES,ECB,24,4096,100,3.895799862220883e-05,2.682299818843603e-05,100.26824113529177,145.63062535209312,0.5003125,0.4970703125,13.42064098991781,12.846735996287668,{}
AES,ECB,24,16384,100,5.034600500948727e-05,3.50550003349781e-05,310.3523307769028,445.72813723265824,0.49828125,0.4978515625,32.94994370812596,41.830865083317576,{}
AES,ECB,32,64,100,2.9977004742249848e-05,1.8380999099463223e-05,2.0360658703161403,3.3205570556707333,0.5033203125,0.50015625,0.3911674204968649,0.1265971234146422,{}
AES,ECB,32,256,100,3.334100008942187e-05,3.5007999977096914e-05,7.322534547410254,6.973852409726998,0.5003125,0.502109375,1.1257731622316425,1.8555318991864787,{}
AES,ECB,32,1024,100,2.139299875125289e-05,2.0433998433873056e-05,45.64869616246798,47.79106268214108,0.4967578125,0.5034765625,2.180276977596783,1.2236306260258254,{}
AES,ECB,32,4096,100,3.137200023047626e-05,2.894899691455066e-05,124.51389682846178,134.9355907401613,0.49703125,0.501328125,19.693352680526907,14.664537050488374,{}
AES,ECB,32,16384,100,5.1165999611839655e-05,3.844100167043507e-05,305.3785740244665,406.46703574369053,0.50546875,0.4949609375,23.412209003191258,50.30863631296322,{}
AES,CBC,16,64,100,0.00015468199970200658,3.961300011724234e-05,0.39458473751039974,1.5407860063452565,0.50140625,0.4951953125,0.028834146480013083,0.15111109208499032,{}
AES,CBC,16,256,100,0.0004988460021559149,7.306300336495042e-05,0.4894108080346879,3.3415082019078133,0.5028125,0.5031640625,0.03744729402335649,0.37323061309921174,{}
AES,CBC,16,1024,100,0.0017364240041933953,0.00016938499989919365,0.5623986409089256,5.765342271046333,0.4965625,0.503125,0.03068011054185905,0.39841805670043795,{}
AES,CBC,16,4096,100,0.006648025002796203,0.0005510920053347946,0.5875805217875995,7.0881993608796945,0.503125,0.502109375,0.014032148404369893,0.35349834517128514,{}
AES,CBC,16,16384,100,0.02896295100217685,0.0030865259992424398,0.5394823199758073,5.062325735741418,0.4989453125,0.5033984375,0.030117045366852384,0.42796677962287555,{}
AES,CBC,24,64,100,0.0002853949973359704,0.00014494699891656637,0.2138620396984348,0.42108602941915846,0.502109375,0.5026953125,0.04358689720339222,0.24357573633144097,{}
AES,CBC,24,256,100,0.0006626410013996065,6.797000183723867e-05,0.3684357359178423,3.5918878681895645,0.49703125,0.5027734375,0.04299966299222884,0.29254684610108983,{}
AES,CBC,24,1024,100,0.0018998090026434511,0.00022223999607376755,0.5140319361794694,4.394179793253111,0.50125,0.5046484375,0.034324597417854916,0.30625085083756265,{}
AES,CBC,24,4096,100,0.00708278599777259,0.0008936570002697408,0.5515132041584266,4.371084206603809,0.5003125,0.502890625,0.025147929703543327,0.43945240366821714,{}
AES,CBC,24,16384,100,0.027186241997405887,0.0027288120018783956,0.5747392376442076,5.725934945039977,0.5016796875,0.4941796875,0.015487196972234487,0.3461666713262855,{}
AES,CBC,32,64,100,0.00013031299808062612,3.535900148563087e-05,0.46837350954228574,1.7261561041197206,0.500390625,0.500078125,0.03152383604911335,0.21952229274889307,{}
AES,CBC,32,256,100,0.0004730539966840297,6.653799791820348e-05,0.5160946249505436,3.669191028262183,0.5007421875,0.499296875,0.03679528389579499,0.4087973823276075,{}
AES,CBC,32,1024,100,0.0017093010048847646,0.00018058500485494732,0.5713227203454646,5.407771817955825,0.499765625,0.5047265625,0.031088769529401213,0.3919764713539309,{}
AES,CBC,32,4096,100,0.006357393002836034,0.0005470970028545707,0.6144421145990852,7.139958690357438,0.4995703125,0.50171875,0.012100040204318553,0.32152813267088015,{}
AES,CBC,32,16384,100,0.026769409995758907,0.00239093899494037,0.5836886207979735,6.535089365753427,0.4980078125,0.4972265625,0.013303286652855725,0.3272990100721357,{}
AES,CTR,16,64,100,3.6868997849524024e-05,3.479299950413406e-05,1.6554601375146398,1.7542366889853196,0.5015234375,0.5055859375,0.1474644127396087,0.20181998334745943,{}
